setting_id,mode,legal_path_count,recovery_repeat_count,length_multiplier,path_gap,recovery_positive_rate,cycle_nonpositive_rate,failure_negative_rate,provenance
paths1_recovery4_length4_s20261102,empirical_noisy_state,1,4,4,0.177,0.7782,0.9016,0.894,controlled_symbolic_stress
paths1_recovery4_length4_s20261103,oracle_state,1,4,4,0.142,0.8132,0.9366,0.929,controlled_symbolic_stress
paths1_recovery4_length4_s20261103,empirical_noisy_state,1,4,4,0.177,0.7782,0.9016,0.894,controlled_symbolic_stress
paths2_recovery0_length1_s20261101,oracle_state,2,0,1,0.092,0.8832,0.9716,0.954,controlled_symbolic_stress
paths2_recovery0_length1_s20261101,empirical_noisy_state,2,0,1,0.127,0.8482,0.9366,0.919,controlled_symbolic_stress
paths2_recovery0_length1_s20261102,oracle_state,2,0,1,0.092,0.8832,0.9716,0.954,controlled_symbolic_stress
paths2_recovery0_length1_s20261102,empirical_noisy_state,2,0,1,0.127,0.8482,0.9366,0.919,controlled_symbolic_stress
paths2_recovery0_length1_s20261103,oracle_state,2,0,1,0.092,0.8832,0.9716,0.954,controlled_symbolic_stress
paths2_recovery0_length1_s20261103,empirical_noisy_state,2,0,1,0.127,0.8482,0.9366,0.919,controlled_symbolic_stress
paths2_recovery0_length2_s20261101,oracle_state,2,0,2,0.102,0.8692,0.9646,0.949,controlled_symbolic_stress
paths2_recovery0_length2_s20261101,empirical_noisy_state,2,0,2,0.137,0.8342,0.9296,0.914,controlled_symbolic_stress
paths2_recovery0_length2_s20261102,oracle_state,2,0,2,0.102,0.8692,0.9646,0.949,controlled_symbolic_stress
paths2_recovery0_length2_s20261102,empirical_noisy_state,2,0,2,0.137,0.8342,0.9296,0.914,controlled_symbolic_stress
paths2_recovery0_length2_s20261103,oracle_state,2,0,2,0.102,0.8692,0.9646,0.949,controlled_symbolic_stress
paths2_recovery0_length2_s20261103,empirical_noisy_state,2,0,2,0.137,0.8342,0.9296,0.914,controlled_symbolic_stress
paths2_recovery0_length4_s20261101,oracle_state,2,0,4,0.122,0.8412,0.9506,0.939,controlled_symbolic_stress
paths2_recovery0_length4_s20261101,empirical_noisy_state,2,0,4,0.157,0.8062,0.9156,0.904,controlled_symbolic_stress
paths2_recovery0_length4_s20261102,oracle_state,2,0,4,0.122,0.8412,0.9506,0.939,controlled_symbolic_stress
paths2_recovery0_length4_s20261102,empirical_noisy_state,2,0,4,0.157,0.8062,0.9156,0.904,controlled_symbolic_stress
paths2_recovery0_length4_s20261103,oracle_state,2,0,4,0.122,0.8412,0.9506,0.939,controlled_symbolic_stress
paths2_recovery0_length4_s20261103,empirical_noisy_state,2,0,4,0.157,0.8062,0.9156,0.904,controlled_symbolic_stress
paths2_recovery1_length1_s20261101,oracle_state,2,1,1,0.1,0.872,0.966,0.95,controlled_symbolic_stress
paths2_recovery1_length1_s20261101,empirical_noisy_state,2,1,1,0.135,0.837,0.931,0.915,controlled_symbolic_stress
paths2_recovery1_length1_s20261102,oracle_state,2,1,1,0.1,0.872,0.966,0.95,controlled_symbolic_stress
paths2_recovery1_length1_s20261102,empirical_noisy_state,2,1,1,0.135,0.837,0.931,0.915,controlled_symbolic_stress
paths2_recovery1_length1_s20261103,oracle_state,2,1,1,0.1,0.872,0.966,0.95,controlled_symbolic_stress
paths2_recovery1_length1_s20261103,empirical_noisy_state,2,1,1,0.135,0.837,0.931,0.915,controlled_symbolic_stress
paths2_recovery1_length2_s20261101,oracle_state,2,1,2,0.11,0.858,0.959,0.945,controlled_symbolic_stress
paths2_recovery1_length2_s20261101,empirical_noisy_state,2,1,2,0.145,0.823,0.924,0.91,controlled_symbolic_stress
paths2_recovery1_length2_s20261102,oracle_state,2,1,2,0.11,0.858,0.959,0.945,controlled_symbolic_stress
paths2_recovery1_length2_s20261102,empirical_noisy_state,2,1,2,0.145,0.823,0.924,0.91,controlled_symbolic_stress
paths2_recovery1_length2_s20261103,oracle_state,2,1,2,0.11,0.858,0.959,0.945,controlled_symbolic_stress
paths2_recovery1_length2_s20261103,empirical_noisy_state,2,1,2,0.145,0.823,0.924,0.91,controlled_symbolic_stress
paths2_recovery1_length4_s20261101,oracle_state,2,1,4,0.13,0.83,0.945,0.935,controlled_symbolic_stress
paths2_recovery1_length4_s20261101,empirical_noisy_state,2,1,4,0.165,0.795,0.91,0.9,controlled_symbolic_stress
paths2_recovery1_length4_s20261102,oracle_state,2,1,4,0.13,0.83,0.945,0.935,controlled_symbolic_stress
paths2_recovery1_length4_s20261102,empirical_noisy_state,2,1,4,0.165,0.795,0.91,0.9,controlled_symbolic_stress
paths2_recovery1_length4_s20261103,oracle_state,2,1,4,0.13,0.83,0.945,0.935,controlled_symbolic_stress
paths2_recovery1_length4_s20261103,empirical_noisy_state,2,1,4,0.165,0.795,0.91,0.9,controlled_symbolic_stress
paths2_recovery2_length1_s20261101,oracle_state,2,2,1,0.108,0.8608,0.9604,0.946,controlled_symbolic_stress
paths2_recovery2_length1_s20261101,empirical_noisy_state,2,2,1,0.143,0.8258,0.9254,0.911,controlled_symbolic_stress
paths2_recovery2_length1_s20261102,oracle_state,2,2,1,0.108,0.8608,0.9604,0.946,controlled_symbolic_stress
paths2_recovery2_length1_s20261102,empirical_noisy_state,2,2,1,0.143,0.8258,0.9254,0.911,controlled_symbolic_stress
paths2_recovery2_length1_s20261103,oracle_state,2,2,1,0.108,0.8608,0.9604,0.946,controlled_symbolic_stress
paths2_recovery2_length1_s20261103,empirical_noisy_state,2,2,1,0.143,0.8258,0.9254,0.911,controlled_symbolic_stress
paths2_recovery2_length2_s20261101,oracle_state,2,2,2,0.118,0.8468,0.9534,0.941,controlled_symbolic_stress
paths2_recovery2_length2_s20261101,empirical_noisy_state,2,2,2,0.153,0.8118,0.9184,0.906,controlled_symbolic_stress
paths2_recovery2_length2_s20261102,oracle_state,2,2,2,0.118,0.8468,0.9534,0.941,controlled_symbolic_stress
paths2_recovery2_length2_s20261102,empirical_noisy_state,2,2,2,0.153,0.8118,0.9184,0.906,controlled_symbolic_stress
paths2_recovery2_length2_s20261103,oracle_state,2,2,2,0.118,0.8468,0.9534,0.941,controlled_symbolic_stress
paths2_recovery2_length2_s20261103,empirical_noisy_state,2,2,2,0.153,0.8118,0.9184,0.906,controlled_symbolic_stress
paths2_recovery2_length4_s20261101,oracle_state,2,2,4,0.138,0.8188,0.9394,0.931,controlled_symbolic_stress
paths2_recovery2_length4_s20261101,empirical_noisy_state,2,2,4,0.173,0.7838,0.9044,0.896,controlled_symbolic_stress
paths2_recovery2_length4_s20261102,oracle_state,2,2,4,0.138,0.8188,0.9394,0.931,controlled_symbolic_stress
paths2_recovery2_length4_s20261102,empirical_noisy_state,2,2,4,0.173,0.7838,0.9044,0.896,controlled_symbolic_stress
paths2_recovery2_length4_s20261103,oracle_state,2,2,4,0.138,0.8188,0.9394,0.931,controlled_symbolic_stress
paths2_recovery2_length4_s20261103,empirical_noisy_state,2,2,4,0.173,0.7838,0.9044,0.896,controlled_symbolic_stress
paths2_recovery4_length1_s20261101,oracle_state,2,4,1,0.124,0.8384,0.9492,0.938,controlled_symbolic_stress
paths2_recovery4_length1_s20261101,empirical_noisy_state,2,4,1,0.159,0.8034,0.9142,0.903,controlled_symbolic_stress
paths2_recovery4_length1_s20261102,oracle_state,2,4,1,0.124,0.8384,0.9492,0.938,controlled_symbolic_stress
paths2_recovery4_length1_s20261102,empirical_noisy_state,2,4,1,0.159,0.8034,0.9142,0.903,controlled_symbolic_stress
paths2_recovery4_length1_s20261103,oracle_state,2,4,1,0.124,0.8384,0.9492,0.938,controlled_symbolic_stress
paths2_recovery4_length1_s20261103,empirical_noisy_state,2,4,1,0.159,0.8034,0.9142,0.903,controlled_symbolic_stress
paths2_recovery4_length2_s20261101,oracle_state,2,4,2,0.134,0.8244,0.9422,0.933,controlled_symbolic_stress
paths2_recovery4_length2_s20261101,empirical_noisy_state,2,4,2,0.169,0.7894,0.9072,0.898,controlled_symbolic_stress
paths2_recovery4_length2_s20261102,oracle_state,2,4,2,0.134,0.8244,0.9422,0.933,controlled_symbolic_stress
paths2_recovery4_length2_s20261102,empirical_noisy_state,2,4,2,0.169,0.7894,0.9072,0.898,controlled_symbolic_stress
paths2_recovery4_length2_s20261103,oracle_state,2,4,2,0.134,0.8244,0.9422,0.933,controlled_symbolic_stress
paths2_recovery4_length2_s20261103,empirical_noisy_state,2,4,2,0.169,0.7894,0.9072,0.898,controlled_symbolic_stress
paths2_recovery4_length4_s20261101,oracle_state,2,4,4,0.154,0.7964,0.9282,0.923,controlled_symbolic_stress
paths2_recovery4_length4_s20261101,empirical_noisy_state,2,4,4,0.189,0.7614,0.8932,0.888,controlled_symbolic_stress
paths2_recovery4_length4_s20261102,oracle_state,2,4,4,0.154,0.7964,0.9282,0.923,controlled_symbolic_stress
paths2_recovery4_length4_s20261102,empirical_noisy_state,2,4,4,0.189,0.7614,0.8932,0.888,controlled_symbolic_stress
paths2_recovery4_length4_s20261103,oracle_state,2,4,4,0.154,0.7964,0.9282,0.923,controlled_symbolic_stress
paths2_recovery4_length4_s20261103,empirical_noisy_state,2,4,4,0.189,0.7614,0.8932,0.888,controlled_symbolic_stress
paths4_recovery0_length1_s20261101,oracle_state,4,0,1,0.116,0.8496,0.9548,0.942,controlled_symbolic_stress
paths4_recovery0_length1_s20261101,empirical_noisy_state,4,0,1,0.151,0.8146,0.9198,0.907,controlled_symbolic_stress
paths4_recovery0_length1_s20261102,oracle_state,4,0,1,0.116,0.8496,0.9548,0.942,controlled_symbolic_stress
paths4_recovery0_length1_s20261102,empirical_noisy_state,4,0,1,0.151,0.8146,0.9198,0.907,controlled_symbolic_stress
paths4_recovery0_length1_s20261103,oracle_state,4,0,1,0.116,0.8496,0.9548,0.942,controlled_symbolic_stress
paths4_recovery0_length1_s20261103,empirical_noisy_state,4,0,1,0.151,0.8146,0.9198,0.907,controlled_symbolic_stress
paths4_recovery0_length2_s20261101,oracle_state,4,0,2,0.126,0.8356,0.9478,0.937,controlled_symbolic_stress
paths4_recovery0_length2_s20261101,empirical_noisy_state,4,0,2,0.161,0.8006,0.9128,0.902,controlled_symbolic_stress
paths4_recovery0_length2_s20261102,oracle_state,4,0,2,0.126,0.8356,0.9478,0.937,controlled_symbolic_stress
paths4_recovery0_length2_s20261102,empirical_noisy_state,4,0,2,0.161,0.8006,0.9128,0.902,controlled_symbolic_stress
paths4_recovery0_length2_s20261103,oracle_state,4,0,2,0.126,0.8356,0.9478,0.937,controlled_symbolic_stress
paths4_recovery0_length2_s20261103,empirical_noisy_state,4,0,2,0.161,0.8006,0.9128,0.902,controlled_symbolic_stress
paths4_recovery0_length4_s20261101,oracle_state,4,0,4,0.146,0.8076,0.9338,0.927,controlled_symbolic_stress
paths4_recovery0_length4_s20261101,empirical_noisy_state,4,0,4,0.181,0.7726,0.8988,0.892,controlled_symbolic_stress
paths4_recovery0_length4_s20261102,oracle_state,4,0,4,0.146,0.8076,0.9338,0.927,controlled_symbolic_stress
paths4_recovery0_length4_s20261102,empirical_noisy_state,4,0,4,0.181,0.7726,0.8988,0.892,controlled_symbolic_stress
paths4_recovery0_length4_s20261103,oracle_state,4,0,4,0.146,0.8076,0.9338,0.927,controlled_symbolic_stress
paths4_recovery0_length4_s20261103,empirical_noisy_state,4,0,4,0.181,0.7726,0.8988,0.892,controlled_symbolic_stress
paths4_recovery1_length1_s20261101,oracle_state,4,1,1,0.124,0.8384,0.9492,0.938,controlled_symbolic_stress
paths4_recovery1_length1_s20261101,empirical_noisy_state,4,1,1,0.159,0.8034,0.9142,0.903,controlled_symbolic_stress
paths4_recovery1_length1_s20261102,oracle_state,4,1,1,0.124,0.8384,0.9492,0.938,controlled_symbolic_stress
paths4_recovery1_length1_s20261102,empirical_noisy_state,4,1,1,0.159,0.8034,0.9142,0.903,controlled_symbolic_stress
paths4_recovery1_length1_s20261103,oracle_state,4,1,1,0.124,0.8384,0.9492,0.938,controlled_symbolic_stress
paths4_recovery1_length1_s20261103,empirical_noisy_state,4,1,1,0.159,0.8034,0.9142,0.903,controlled_symbolic_stress
paths4_recovery1_length2_s20261101,oracle_state,4,1,2,0.134,0.8244,0.9422,0.933,controlled_symbolic_stress
paths4_recovery1_length2_s20261101,empirical_noisy_state,4,1,2,0.169,0.7894,0.9072,0.898,controlled_symbolic_stress
paths4_recovery1_length2_s20261102,oracle_state,4,1,2,0.134,0.8244,0.9422,0.933,controlled_symbolic_stress
paths4_recovery1_length2_s20261102,empirical_noisy_state,4,1,2,0.169,0.7894,0.9072,0.898,controlled_symbolic_stress
paths4_recovery1_length2_s20261103,oracle_state,4,1,2,0.134,0.8244,0.9422,0.933,controlled_symbolic_stress
paths4_recovery1_length2_s20261103,empirical_noisy_state,4,1,2,0.169,0.7894,0.9072,0.898,controlled_symbolic_stress
paths4_recovery1_length4_s20261101,oracle_state,4,1,4,0.154,0.7964,0.9282,0.923,controlled_symbolic_stress
paths4_recovery1_length4_s20261101,empirical_noisy_state,4,1,4,0.189,0.7614,0.8932,0.888,controlled_symbolic_stress
paths4_recovery1_length4_s20261102,oracle_state,4,1,4,0.154,0.7964,0.9282,0.923,controlled_symbolic_stress
paths4_recovery1_length4_s20261102,empirical_noisy_state,4,1,4,0.189,0.7614,0.8932,0.888,controlled_symbolic_stress
paths4_recovery1_length4_s20261103,oracle_state,4,1,4,0.154,0.7964,0.9282,0.923,controlled_symbolic_stress
paths4_recovery1_length4_s20261103,empirical_noisy_state,4,1,4,0.189,0.7614,0.8932,0.888,controlled_symbolic_stress
paths4_recovery2_length1_s20261101,oracle_state,4,2,1,0.132,0.8272,0.9436,0.934,controlled_symbolic_stress
paths4_recovery2_length1_s20261101,empirical_noisy_state,4,2,1,0.167,0.7922,0.9086,0.899,controlled_symbolic_stress
paths4_recovery2_length1_s20261102,oracle_state,4,2,1,0.132,0.8272,0.9436,0.934,controlled_symbolic_stress
paths4_recovery2_length1_s20261102,empirical_noisy_state,4,2,1,0.167,0.7922,0.9086,0.899,controlled_symbolic_stress
paths4_recovery2_length1_s20261103,oracle_state,4,2,1,0.132,0.8272,0.9436,0.934,controlled_symbolic_stress
paths4_recovery2_length1_s20261103,empirical_noisy_state,4,2,1,0.167,0.7922,0.9086,0.899,controlled_symbolic_stress
paths4_recovery2_length2_s20261101,oracle_state,4,2,2,0.142,0.8132,0.9366,0.929,controlled_symbolic_stress
paths4_recovery2_length2_s20261101,empirical_noisy_state,4,2,2,0.177,0.7782,0.9016,0.894,controlled_symbolic_stress
paths4_recovery2_length2_s20261102,oracle_state,4,2,2,0.142,0.8132,0.9366,0.929,controlled_symbolic_stress
paths4_recovery2_length2_s20261102,empirical_noisy_state,4,2,2,0.177,0.7782,0.9016,0.894,controlled_symbolic_stress
paths4_recovery2_length2_s20261103,oracle_state,4,2,2,0.142,0.8132,0.9366,0.929,controlled_symbolic_stress
paths4_recovery2_length2_s20261103,empirical_noisy_state,4,2,2,0.177,0.7782,0.9016,0.894,controlled_symbolic_stress
paths4_recovery2_length4_s20261101,oracle_state,4,2,4,0.162,0.7852,0.9226,0.919,controlled_symbolic_stress
paths4_recovery2_length4_s20261101,empirical_noisy_state,4,2,4,0.197,0.7502,0.8876,0.884,controlled_symbolic_stress
paths4_recovery2_length4_s20261102,oracle_state,4,2,4,0.162,0.7852,0.9226,0.919,controlled_symbolic_stress
paths4_recovery2_length4_s20261102,empirical_noisy_state,4,2,4,0.197,0.7502,0.8876,0.884,controlled_symbolic_stress
paths4_recovery2_length4_s20261103,oracle_state,4,2,4,0.162,0.7852,0.9226,0.919,controlled_symbolic_stress
paths4_recovery2_length4_s20261103,empirical_noisy_state,4,2,4,0.197,0.7502,0.8876,0.884,controlled_symbolic_stress
paths4_recovery4_length1_s20261101,oracle_state,4,4,1,0.148,0.8048,0.9324,0.926,controlled_symbolic_stress
paths4_recovery4_length1_s20261101,empirical_noisy_state,4,4,1,0.183,0.7698,0.8974,0.891,controlled_symbolic_stress
paths4_recovery4_length1_s20261102,oracle_state,4,4,1,0.148,0.8048,0.9324,0.926,controlled_symbolic_stress
paths4_recovery4_length1_s20261102,empirical_noisy_state,4,4,1,0.183,0.7698,0.8974,0.891,controlled_symbolic_stress
paths4_recovery4_length1_s20261103,oracle_state,4,4,1,0.148,0.8048,0.9324,0.926,controlled_symbolic_stress
paths4_recovery4_length1_s20261103,empirical_noisy_state,4,4,1,0.183,0.7698,0.8974,0.891,controlled_symbolic_stress
paths4_recovery4_length2_s20261101,oracle_state,4,4,2,0.158,0.7908,0.9254,0.921,controlled_symbolic_stress
paths4_recovery4_length2_s20261101,empirical_noisy_state,4,4,2,0.193,0.7558,0.8904,0.886,controlled_symbolic_stress
paths4_recovery4_length2_s20261102,oracle_state,4,4,2,0.158,0.7908,0.9254,0.921,controlled_symbolic_stress
paths4_recovery4_length2_s20261102,empirical_noisy_state,4,4,2,0.193,0.7558,0.8904,0.886,controlled_symbolic_stress
paths4_recovery4_length2_s20261103,oracle_state,4,4,2,0.158,0.7908,0.9254,0.921,controlled_symbolic_stress
paths4_recovery4_length2_s20261103,empirical_noisy_state,4,4,2,0.193,0.7558,0.8904,0.886,controlled_symbolic_stress
paths4_recovery4_length4_s20261101,oracle_state,4,4,4,0.178,0.7628,0.9114,0.911,controlled_symbolic_stress
paths4_recovery4_length4_s20261101,empirical_noisy_state,4,4,4,0.213,0.7278,0.8764,0.876,controlled_symbolic_stress
paths4_recovery4_length4_s20261102,oracle_state,4,4,4,0.178,0.7628,0.9114,0.911,controlled_symbolic_stress
paths4_recovery4_length4_s20261102,empirical_noisy_state,4,4,4,0.213,0.7278,0.8764,0.876,controlled_symbolic_stress
paths4_recovery4_length4_s20261103,oracle_state,4,4,4,0.178,0.7628,0.9114,0.911,controlled_symbolic_stress
paths4_recovery4_length4_s20261103,empirical_noisy_state,4,4,4,0.213,0.7278,0.8764,0.876,controlled_symbolic_stress
paths8_recovery0_length1_s20261101,oracle_state,8,0,1,0.164,0.7824,0.9212,0.918,controlled_symbolic_stress
paths8_recovery0_length1_s20261101,empirical_noisy_state,8,0,1,0.199,0.7474,0.8862,0.883,controlled_symbolic_stress
paths8_recovery0_length1_s20261102,oracle_state,8,0,1,0.164,0.7824,0.9212,0.918,controlled_symbolic_stress
paths8_recovery0_length1_s20261102,empirical_noisy_state,8,0,1,0.199,0.7474,0.8862,0.883,controlled_symbolic_stress
paths8_recovery0_length1_s20261103,oracle_state,8,0,1,0.164,0.7824,0.9212,0.918,controlled_symbolic_stress
paths8_recovery0_length1_s20261103,empirical_noisy_state,8,0,1,0.199,0.7474,0.8862,0.883,controlled_symbolic_stress
paths8_recovery0_length2_s20261101,oracle_state,8,0,2,0.174,0.7684,0.9142,0.913,controlled_symbolic_stress
paths8_recovery0_length2_s20261101,empirical_noisy_state,8,0,2,0.209,0.7334,0.8792,0.878,controlled_symbolic_stress
paths8_recovery0_length2_s20261102,oracle_state,8,0,2,0.174,0.7684,0.9142,0.913,controlled_symbolic_stress
paths8_recovery0_length2_s20261102,empirical_noisy_state,8,0,2,0.209,0.7334,0.8792,0.878,controlled_symbolic_stress
paths8_recovery0_length2_s20261103,oracle_state,8,0,2,0.174,0.7684,0.9142,0.913,controlled_symbolic_stress
paths8_recovery0_length2_s20261103,empirical_noisy_state,8,0,2,0.209,0.7334,0.8792,0.878,controlled_symbolic_stress
