candidate_id,edge_id,edge_type_score,fallback_handles,fallback_status,family_support_score,from_cluster_handle,from_cluster_id,grounding_status,independent_continuation_status,node_pair_score,predicate_effect_score,score,support_root_families,to_cluster_handle,to_cluster_id,transition_handle
qwen:instruction_only_r01,e_contact_to_collision,0.75,F002;F008;F016,train_fragment_support,0.5,C03,3,grounded_candidate,not_run_u3g_required_u4,0.41932399,0.4,0.4877296,42,C05,5,T000
qwen:instruction_only_r01,e_contact_to_collision,0.75,F002;F008;F016,train_fragment_support,0.07142857,C03,3,grounded_candidate,not_run_u3g_required_u4,0.41261905,0.5,0.47219048,6,C04,4,T022
qwen:instruction_only_r01,e_contact_to_collision,0.75,F002;F008;F016,train_fragment_support,0.27380952,C03,3,grounded_candidate,not_run_u3g_required_u4,0.40078045,0.4,0.45769313,23,C08,8,T010
qwen:instruction_only_r01,e_contact_to_stagnation,0.75,F002;F008;F016,train_fragment_support,0.5,C03,3,grounded_candidate,not_run_u3g_required_u4,0.35682399,0.14285714,0.38558674,42,C05,5,T000
qwen:instruction_only_r01,e_detour_to_collision,0.75,F002;F008;F016,train_fragment_support,0.27380952,C03,3,grounded_candidate,not_run_u3g_required_u4,0.33828045,0.4,0.43269313,23,C08,8,T010
qwen:instruction_only_r01,e_detour_to_collision,0.75,F002;F008;F016,train_fragment_support,0.14285714,C10,10,grounded_candidate,not_run_u3g_required_u4,0.38378828,0.33333333,0.41780102,12,C05,5,T015
qwen:instruction_only_r01,e_detour_to_collision,0.75,F002;F008;F016,train_fragment_support,0.5,C03,3,grounded_candidate,not_run_u3g_required_u4,0.35682399,0.16666667,0.3927296,42,C05,5,T000
qwen:instruction_only_r02,e_approach_to_contact,0.75,F000;F001;F003,train_fragment_support,0.10714286,C10,10,grounded_candidate,not_run_u3g_required_u4,0.52553571,0.33333333,0.47092857,9,C03,3,T018
qwen:instruction_only_r02,e_approach_to_contact,0.75,F000;F001;F003,train_fragment_support,0.08333333,C10,10,grounded_candidate,not_run_u3g_required_u4,0.48625,0.33333333,0.45283333,7,C01,1,T021
qwen:instruction_only_r02,e_approach_to_contact,0.75,F000;F001;F003,train_fragment_support,0.16666667,C08,8,grounded_candidate,not_run_u3g_required_u4,0.45708333,0.28571429,0.43521429,14,C01,1,T014
qwen:instruction_only_r02,e_contact_to_lost,0.75,F002;F008;F016,train_fragment_support,0.27380952,C03,3,grounded_candidate,not_run_u3g_required_u4,0.45875,0.28571429,0.44659524,23,C08,8,T010
qwen:instruction_only_r02,e_contact_to_lost,0.75,F002;F008;F016,train_fragment_support,0.04761905,C01,1,grounded_candidate,not_run_u3g_required_u4,0.41946428,0.28571429,0.4082619,4,C08,8,T025
qwen:instruction_only_r02,e_contact_to_collision,0.75,F002;F008;F016,train_fragment_support,0.07142857,C03,3,grounded_candidate,not_run_u3g_required_u4,0.49595238,0.75,0.58052381,6,C04,4,T022
qwen:instruction_only_r02,e_contact_to_collision,0.75,F002;F008;F016,train_fragment_support,0.5,C03,3,grounded_candidate,not_run_u3g_required_u4,0.48182399,0.6,0.5727296,42,C05,5,T000
qwen:instruction_only_r02,e_lost_to_recovery,0.75,F018;F023;F025,train_fragment_support,0.27380952,C03,3,grounded_candidate,not_run_u3g_required_u4,0.44470238,0.0,0.3552619,23,C08,8,T010
qwen:instruction_only_r02,e_lost_to_stagnation,0.75,F002;F008;F016,train_fragment_support,0.27380952,C03,3,grounded_candidate,not_run_u3g_required_u4,0.41828045,0.14285714,0.38755028,23,C08,8,T010
qwen:instruction_only_r02,e_lost_to_stagnation,0.75,F002;F008;F016,train_fragment_support,0.0952381,C08,8,grounded_candidate,not_run_u3g_required_u4,0.41035714,0.14285714,0.36652381,8,C00,0,T020
qwen:instruction_only_r02,e_recovery_to_contact,0.75,F000;F001;F003,train_fragment_support,0.33333333,C03,3,grounded_candidate,not_run_u3g_required_u4,0.46178571,0.2,0.42804762,28,C01,1,T008
qwen:instruction_only_r02,e_recovery_to_contact,0.75,F000;F001;F003,train_fragment_support,0.16666667,C08,8,grounded_candidate,not_run_u3g_required_u4,0.42541666,0.14285714,0.37969048,14,C01,1,T014
qwen:instruction_only_r02,e_approach_to_stagnation,0.75,F002;F008;F016,train_fragment_support,0.27380952,C03,3,grounded_candidate,not_run_u3g_required_u4,0.44578045,0.14285714,0.39855028,23,C08,8,T010
qwen:instruction_only_r02,e_approach_to_stagnation,0.75,F002;F008;F016,train_fragment_support,0.0952381,C08,8,grounded_candidate,not_run_u3g_required_u4,0.44797619,0.14285714,0.38157143,8,C00,0,T020
