method,policy_seed,worker,first_success_episode_index,cumulative_worker_steps,approx_env_interactions,episode_id,status
GEOM_COUNT_EVENTS_PBRS,239,3,32,3188,25504,P2B_train_239_3_32,OBSERVED
GEOM_COUNT_EVENTS_PBRS,239,4,48,4640,37120,P2B_train_239_4_48,OBSERVED
GEOM_COUNT_EVENTS_PBRS,239,5,44,4343,34744,P2B_train_239_5_44,OBSERVED
GEOM_COUNT_EVENTS_PBRS,239,6,27,2664,21312,P2B_train_239_6_27,OBSERVED
GEOM_COUNT_EVENTS_PBRS,239,7,56,5461,43688,P2B_train_239_7_56,OBSERVED
GRAPH_COST_PBRS,211,0,232,22325,178600,P2B_train_211_0_232,OBSERVED
GRAPH_COST_PBRS,211,1,230,22174,177392,P2B_train_211_1_230,OBSERVED
GRAPH_COST_PBRS,211,2,245,23540,188320,P2B_train_211_2_245,OBSERVED
GRAPH_COST_PBRS,211,3,242,23285,186280,P2B_train_211_3_242,OBSERVED
GRAPH_COST_PBRS,211,4,240,23100,184800,P2B_train_211_4_240,OBSERVED
GRAPH_COST_PBRS,211,5,222,21430,171440,P2B_train_211_5_222,OBSERVED
GRAPH_COST_PBRS,211,6,237,22749,181992,P2B_train_211_6_237,OBSERVED
GRAPH_COST_PBRS,211,7,219,21116,168928,P2B_train_211_7_219,OBSERVED
GRAPH_COST_PBRS,223,0,71,6860,54880,P2B_train_223_0_71,OBSERVED
GRAPH_COST_PBRS,223,1,68,6650,53200,P2B_train_223_1_68,OBSERVED
GRAPH_COST_PBRS,223,2,67,6518,52144,P2B_train_223_2_67,OBSERVED
GRAPH_COST_PBRS,223,3,65,6312,50496,P2B_train_223_3_65,OBSERVED
GRAPH_COST_PBRS,223,4,63,6110,48880,P2B_train_223_4_63,OBSERVED
GRAPH_COST_PBRS,223,5,92,8915,71320,P2B_train_223_5_92,OBSERVED
GRAPH_COST_PBRS,223,6,59,5737,45896,P2B_train_223_6_59,OBSERVED
GRAPH_COST_PBRS,223,7,72,6995,55960,P2B_train_223_7_72,OBSERVED
GRAPH_COST_PBRS,227,0,7,767,6136,P2B_train_227_0_7,OBSERVED
GRAPH_COST_PBRS,227,1,37,3633,29064,P2B_train_227_1_37,OBSERVED
GRAPH_COST_PBRS,227,2,50,4836,38688,P2B_train_227_2_50,OBSERVED
GRAPH_COST_PBRS,227,3,32,3184,25472,P2B_train_227_3_32,OBSERVED
GRAPH_COST_PBRS,227,4,46,4465,35720,P2B_train_227_4_46,OBSERVED
GRAPH_COST_PBRS,227,5,12,1252,10016,P2B_train_227_5_12,OBSERVED
GRAPH_COST_PBRS,227,6,27,2672,21376,P2B_train_227_6_27,OBSERVED
GRAPH_COST_PBRS,227,7,40,3919,31352,P2B_train_227_7_40,OBSERVED
GRAPH_COST_PBRS,233,0,407,39143,313144,P2B_train_233_0_407,OBSERVED
GRAPH_COST_PBRS,233,1,421,40509,324072,P2B_train_233_1_421,OBSERVED
GRAPH_COST_PBRS,233,2,434,41711,333688,P2B_train_233_2_434,OBSERVED
GRAPH_COST_PBRS,233,3,416,40029,320232,P2B_train_233_3_416,OBSERVED
GRAPH_COST_PBRS,233,4,446,42872,342976,P2B_train_233_4_446,OBSERVED
GRAPH_COST_PBRS,233,5,428,41184,329472,P2B_train_233_5_428,OBSERVED
GRAPH_COST_PBRS,233,6,427,41060,328480,P2B_train_233_6_427,OBSERVED
GRAPH_COST_PBRS,233,7,440,42323,338584,P2B_train_233_7_440,OBSERVED
GRAPH_COST_PBRS,239,0,327,31476,251808,P2B_train_239_0_327,OBSERVED
GRAPH_COST_PBRS,239,1,368,35418,283344,P2B_train_239_1_368,OBSERVED
GRAPH_COST_PBRS,239,2,356,34212,273696,P2B_train_239_2_356,OBSERVED
GRAPH_COST_PBRS,239,3,363,34934,279472,P2B_train_239_3_363,OBSERVED
GRAPH_COST_PBRS,239,4,353,33981,271848,P2B_train_239_4_353,OBSERVED
GRAPH_COST_PBRS,239,5,359,34540,276320,P2B_train_239_5_359,OBSERVED
GRAPH_COST_PBRS,239,6,75,7296,58368,P2B_train_239_6_75,OBSERVED
GRAPH_COST_PBRS,239,7,356,34300,274400,P2B_train_239_7_356,OBSERVED
GRAPH_FULL_PBRS,211,0,103,9969,79752,P2B_train_211_0_103,OBSERVED
GRAPH_FULL_PBRS,211,1,85,8255,66040,P2B_train_211_1_85,OBSERVED
GRAPH_FULL_PBRS,211,2,99,9576,76608,P2B_train_211_2_99,OBSERVED
GRAPH_FULL_PBRS,211,3,96,9333,74664,P2B_train_211_3_96,OBSERVED
GRAPH_FULL_PBRS,211,4,95,9199,73592,P2B_train_211_4_95,OBSERVED
GRAPH_FULL_PBRS,211,5,124,11975,95800,P2B_train_211_5_124,OBSERVED
GRAPH_FULL_PBRS,211,6,75,7280,58240,P2B_train_211_6_75,OBSERVED
GRAPH_FULL_PBRS,211,7,104,10074,80592,P2B_train_211_7_104,OBSERVED
GRAPH_FULL_PBRS,223,0,54,5240,41920,P2B_train_223_0_54,OBSERVED
GRAPH_FULL_PBRS,223,1,36,3546,28368,P2B_train_223_1_36,OBSERVED
GRAPH_FULL_PBRS,223,2,35,3446,27568,P2B_train_223_2_35,OBSERVED
GRAPH_FULL_PBRS,223,3,49,4780,38240,P2B_train_223_3_49,OBSERVED
GRAPH_FULL_PBRS,223,4,47,4592,36736,P2B_train_223_4_47,OBSERVED
GRAPH_FULL_PBRS,223,5,28,2785,22280,P2B_train_223_5_28,OBSERVED
GRAPH_FULL_PBRS,223,6,43,4199,33592,P2B_train_223_6_43,OBSERVED
GRAPH_FULL_PBRS,223,7,40,3934,31472,P2B_train_223_7_40,OBSERVED
GRAPH_FULL_PBRS,227,0,7,767,6136,P2B_train_227_0_7,OBSERVED
GRAPH_FULL_PBRS,227,1,37,3638,29104,P2B_train_227_1_37,OBSERVED
GRAPH_FULL_PBRS,227,2,50,4839,38712,P2B_train_227_2_50,OBSERVED
GRAPH_FULL_PBRS,227,3,32,3169,25352,P2B_train_227_3_32,OBSERVED
GRAPH_FULL_PBRS,227,4,31,3027,24216,P2B_train_227_4_31,OBSERVED
GRAPH_FULL_PBRS,227,5,44,4314,34512,P2B_train_227_5_44,OBSERVED
GRAPH_FULL_PBRS,227,6,43,4186,33488,P2B_train_227_6_43,OBSERVED
GRAPH_FULL_PBRS,227,7,40,3917,31336,P2B_train_227_7_40,OBSERVED
GRAPH_FULL_PBRS,233,0,54,5239,41912,P2B_train_233_0_54,OBSERVED
GRAPH_FULL_PBRS,233,1,68,6627,53016,P2B_train_233_1_68,OBSERVED
GRAPH_FULL_PBRS,233,2,51,4953,39624,P2B_train_233_2_51,OBSERVED
GRAPH_FULL_PBRS,233,3,48,4675,37400,P2B_train_233_3_48,OBSERVED
GRAPH_FULL_PBRS,233,4,46,4467,35736,P2B_train_233_4_46,OBSERVED
GRAPH_FULL_PBRS,233,5,61,5929,47432,P2B_train_233_5_61,OBSERVED
GRAPH_FULL_PBRS,233,6,59,5734,45872,P2B_train_233_6_59,OBSERVED
GRAPH_FULL_PBRS,233,7,40,3948,31584,P2B_train_233_7_40,OBSERVED
GRAPH_FULL_PBRS,239,0,38,3705,29640,P2B_train_239_0_38,OBSERVED
GRAPH_FULL_PBRS,239,1,100,9668,77344,P2B_train_239_1_100,OBSERVED
GRAPH_FULL_PBRS,239,2,83,8018,64144,P2B_train_239_2_83,OBSERVED
GRAPH_FULL_PBRS,239,3,91,8824,70592,P2B_train_239_3_91,OBSERVED
GRAPH_FULL_PBRS,239,4,79,7665,61320,P2B_train_239_4_79,OBSERVED
GRAPH_FULL_PBRS,239,5,108,10451,83608,P2B_train_239_5_108,OBSERVED
GRAPH_FULL_PBRS,239,6,91,8830,70640,P2B_train_239_6_91,OBSERVED
GRAPH_FULL_PBRS,239,7,104,10056,80448,P2B_train_239_7_104,OBSERVED
TASK_ONLY,211,0,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
TASK_ONLY,211,1,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
TASK_ONLY,211,2,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
TASK_ONLY,211,3,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
TASK_ONLY,211,4,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
TASK_ONLY,211,5,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
TASK_ONLY,211,6,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
TASK_ONLY,211,7,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
TASK_ONLY,239,0,615,59133,473064,P2B_train_239_0_615,OBSERVED
TASK_ONLY,239,1,196,18943,151544,P2B_train_239_1_196,OBSERVED
TASK_ONLY,239,2,354,34048,272384,P2B_train_239_2_354,OBSERVED
TASK_ONLY,239,3,384,36979,295832,P2B_train_239_3_384,OBSERVED
TASK_ONLY,239,4,638,61312,490496,P2B_train_239_4_638,OBSERVED
TASK_ONLY,239,5,636,61176,489408,P2B_train_239_5_636,OBSERVED
TASK_ONLY,239,6,635,61046,488368,P2B_train_239_6_635,OBSERVED
TASK_ONLY,239,7,360,34644,277152,P2B_train_239_7_360,OBSERVED
