method_id,input_tier,rollout_id,root_family_id,case_id,expected_action,selected_action,outcome,hold_entry_route,first_hold_time,hold_established_before_event,false_recovery,lift_confirmed,unknown_rows,rows
S_G_HR,S,L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,recover_object,none,none,LOW_HEIGHT_CO_MOTION,0.5,True,False,False,0,43
O_B2,O,L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,none,none,none,,0.65,False,False,,0,26
O_C3,O,L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,none,none,none,,0.5,True,False,,0,26
S_G_H,S,L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,none,none,none,HEIGHT_THRESHOLD,0.5,True,False,True,0,26
S_G_R,S,L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,none,none,none,RELATIVE_CO_MOTION,0.5,True,False,False,0,26
S_G_HR,S,L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,none,none,none,LOW_HEIGHT_CO_MOTION,0.5,True,False,False,0,26
O_B2,O,L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,none,none,none,,1.1,False,False,,0,25
O_C3,O,L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,none,none,none,,0.95,False,False,,0,25
S_G_H,S,L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,none,none,none,HEIGHT_THRESHOLD,0.95,False,False,True,0,25
S_G_R,S,L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,none,none,none,,,False,False,,0,25
S_G_HR,S,L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,none,none,none,,,False,False,,0,25
O_B2,O,L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,retry_grasp,none,none,,,False,False,,0,9
O_C3,O,L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,retry_grasp,none,none,,,False,False,,0,9
S_G_H,S,L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,correct,,,False,False,,0,9
S_G_R,S,L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,correct,,,False,False,,0,9
S_G_HR,S,L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,correct,,,False,False,,0,9
O_B2,O,L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_02_840002,K2_touch_request_completes_without_hold,none,none,none,,,False,False,,0,14
O_C3,O,L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_02_840002,K2_touch_request_completes_without_hold,none,none,none,,,False,False,,0,14
S_G_H,S,L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_02_840002,K2_touch_request_completes_without_hold,none,none,none,,,False,False,,0,14
S_G_R,S,L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_02_840002,K2_touch_request_completes_without_hold,none,none,none,,,False,False,,0,14
S_G_HR,S,L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_02_840002,K2_touch_request_completes_without_hold,none,none,none,,,False,False,,0,14
O_B2,O,L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,L2RAR2_REPAIR_02_840002,K3_normal_hold_pause_resume,none,none,none,,0.65,True,False,,0,31
O_C3,O,L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,L2RAR2_REPAIR_02_840002,K3_normal_hold_pause_resume,none,none,none,,0.5,True,False,,0,31
S_G_H,S,L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,L2RAR2_REPAIR_02_840002,K3_normal_hold_pause_resume,none,none,none,HEIGHT_THRESHOLD,0.5,True,False,True,0,31
S_G_R,S,L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,L2RAR2_REPAIR_02_840002,K3_normal_hold_pause_resume,none,none,none,RELATIVE_CO_MOTION,0.5,True,False,False,0,31
S_G_HR,S,L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,L2RAR2_REPAIR_02_840002,K3_normal_hold_pause_resume,none,none,none,LOW_HEIGHT_CO_MOTION,0.5,True,False,False,0,31
O_B2,O,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,recover_object,none,none,,0.65,True,False,,0,29
O_C3,O,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,recover_object,none,none,,0.5,True,False,,0,29
S_G_H,S,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,recover_object,none,none,HEIGHT_THRESHOLD,0.5,True,False,True,0,29
S_G_R,S,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,recover_object,none,none,RELATIVE_CO_MOTION,0.5,True,False,False,0,29
S_G_HR,S,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,recover_object,none,none,LOW_HEIGHT_CO_MOTION,0.5,True,False,False,0,29
O_B2,O,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,recover_object,none,none,,0.65,True,False,,0,26
O_C3,O,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,recover_object,none,none,,0.5,True,False,,0,26
S_G_H,S,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,recover_object,none,none,HEIGHT_THRESHOLD,0.5,True,False,True,0,26
S_G_R,S,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,recover_object,none,none,RELATIVE_CO_MOTION,0.5,True,False,False,0,26
S_G_HR,S,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,recover_object,none,none,LOW_HEIGHT_CO_MOTION,0.5,True,False,False,0,26
O_B2,O,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,recover_object,none,none,,0.65,True,False,,0,44
O_C3,O,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,recover_object,none,none,,0.5,True,False,,0,44
S_G_H,S,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,recover_object,none,none,HEIGHT_THRESHOLD,0.5,True,False,True,0,44
S_G_R,S,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,recover_object,none,none,RELATIVE_CO_MOTION,0.5,True,False,False,0,44
S_G_HR,S,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,recover_object,none,none,LOW_HEIGHT_CO_MOTION,0.5,True,False,False,0,44
O_B2,O,L2RAR2_REPAIR_02_840002:K7_commanded_release,L2RAR2_REPAIR_02_840002,K7_commanded_release,none,none,none,,0.65,True,False,,0,27
O_C3,O,L2RAR2_REPAIR_02_840002:K7_commanded_release,L2RAR2_REPAIR_02_840002,K7_commanded_release,none,none,none,,0.5,True,False,,0,27
S_G_H,S,L2RAR2_REPAIR_02_840002:K7_commanded_release,L2RAR2_REPAIR_02_840002,K7_commanded_release,none,none,none,HEIGHT_THRESHOLD,0.5,True,False,True,0,27
S_G_R,S,L2RAR2_REPAIR_02_840002:K7_commanded_release,L2RAR2_REPAIR_02_840002,K7_commanded_release,none,none,none,RELATIVE_CO_MOTION,0.5,True,False,False,0,27
S_G_HR,S,L2RAR2_REPAIR_02_840002:K7_commanded_release,L2RAR2_REPAIR_02_840002,K7_commanded_release,none,none,none,LOW_HEIGHT_CO_MOTION,0.5,True,False,False,0,27
O_B2,O,L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_02_840002,K8_acquisition_touch_then_continue,none,none,none,,1.1,False,False,,0,28
O_C3,O,L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_02_840002,K8_acquisition_touch_then_continue,none,none,none,,1.05,False,False,,0,28
S_G_H,S,L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_02_840002,K8_acquisition_touch_then_continue,none,none,none,HEIGHT_THRESHOLD,1.05,False,False,True,0,28
S_G_R,S,L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_02_840002,K8_acquisition_touch_then_continue,none,none,none,,,False,False,,0,28
S_G_HR,S,L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_02_840002,K8_acquisition_touch_then_continue,none,none,none,,,False,False,,0,28
O_B2,O,L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_03_840003,K1_hold_request_ends_without_hold,retry_grasp,none,none,,,False,False,,0,9
O_C3,O,L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_03_840003,K1_hold_request_ends_without_hold,retry_grasp,none,none,,,False,False,,0,9
S_G_H,S,L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_03_840003,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,correct,,,False,False,,0,9
S_G_R,S,L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_03_840003,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,correct,,,False,False,,0,9
S_G_HR,S,L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_03_840003,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,correct,,,False,False,,0,9
O_B2,O,L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_03_840003,K2_touch_request_completes_without_hold,none,none,none,,,False,False,,0,16
O_C3,O,L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_03_840003,K2_touch_request_completes_without_hold,none,none,none,,,False,False,,0,16
S_G_H,S,L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_03_840003,K2_touch_request_completes_without_hold,none,none,none,,,False,False,,0,16
S_G_R,S,L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_03_840003,K2_touch_request_completes_without_hold,none,none,none,,,False,False,,0,16
S_G_HR,S,L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_03_840003,K2_touch_request_completes_without_hold,none,none,none,,,False,False,,0,16
O_B2,O,L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,L2RAR2_REPAIR_03_840003,K3_normal_hold_pause_resume,none,none,none,,0.75,False,False,,0,30
O_C3,O,L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,L2RAR2_REPAIR_03_840003,K3_normal_hold_pause_resume,none,none,none,,0.5,True,False,,0,30
S_G_H,S,L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,L2RAR2_REPAIR_03_840003,K3_normal_hold_pause_resume,none,none,none,HEIGHT_THRESHOLD,0.5,True,False,True,0,30
S_G_R,S,L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,L2RAR2_REPAIR_03_840003,K3_normal_hold_pause_resume,none,none,none,RELATIVE_CO_MOTION,0.5,True,False,False,0,30
S_G_HR,S,L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,L2RAR2_REPAIR_03_840003,K3_normal_hold_pause_resume,none,none,none,LOW_HEIGHT_CO_MOTION,0.5,True,False,False,0,30
O_B2,O,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,recover_object,none,none,,0.85,False,False,,0,28
O_C3,O,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,recover_object,none,none,,0.5,True,False,,0,28
S_G_H,S,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,recover_object,none,none,HEIGHT_THRESHOLD,0.5,True,False,True,0,28
S_G_R,S,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,recover_object,none,none,RELATIVE_CO_MOTION,0.5,True,False,False,0,28
