evidence_id,path,sha256,source_round,recorded_purpose,python,numpy,mujoco,opencv,platform,MUJOCO_GL,evidence_status,notes
E11_candidate_9,/home/__compress_data/xushijie/graph_l2ra_r2_forced_drop_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/rounds/u4r1_8_causal_context_repair/manifests/execution_environment_v3.json,b7d03d7b1692dde653206f4df8656050424021e95a8bc9840cae18bd039717f6,historical adjacent record,u4r1_execution_environment_audit_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E12_candidate_10,/home/__compress_data/xushijie/graph_l2ra_r2_forced_drop_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/rounds/l1v_0_scenes_and_protocol/reports/simulator_environment.json,b8b2c57fde46ff4802c0e8253585c58a47dcae52e433a8c29d94e5148718d5de,historical adjacent record,l1v_simulator_environment_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E13_candidate_11,/home/__compress_data/xushijie/graph_l2ra_r2_forced_drop_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/simulator_environment.json,b8b2c57fde46ff4802c0e8253585c58a47dcae52e433a8c29d94e5148718d5de,historical adjacent record,l1v_simulator_environment_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E14_candidate_12,/home/__compress_data/xushijie/graph_l2ra_r2_r14_forensics_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/rounds/l2ra_0_entry/environment/python_environment.json,0140186c07266d9a5cd0688422df875d56b7f4be1aa783638b18b741f0ea6952,historical adjacent record,candidate,/home/__compress_data/xushijie/.conda/envs/lerobot/bin/python,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E15_candidate_13,/home/__compress_data/xushijie/graph_l2ra_r2_r14_forensics_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/baseline_replay/runtime_environment.json,856f5ce4dbcdd2bc0d1bc3d379d17750ada8bdebbc58535f23eb769c5b157ba3,historical adjacent record,dependency inventory for cache-only interface diagnostic,/home/xushijie/.conda/envs/lerobot/bin/python,,"{'installed': True, 'version': '3.4.0'}",,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E16_candidate_15,/home/__compress_data/xushijie/graph_l2ra_r2_r14_forensics_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/replay_readiness_l2rar2_r13_v1/replay_environment_contract.json,518117f85112981f5fad79a8954569a99e25a452df1da1f21da5153fa39faa12,historical adjacent record,l2rar2_r13_replay_environment_contract_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E17_candidate_16,/home/__compress_data/xushijie/graph_l2ra_r2_r14_forensics_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/rounds/l2rar2_10_online_interface_repair/runtime_environment.json,856f5ce4dbcdd2bc0d1bc3d379d17750ada8bdebbc58535f23eb769c5b157ba3,historical adjacent record,dependency inventory for cache-only interface diagnostic,/home/xushijie/.conda/envs/lerobot/bin/python,,"{'installed': True, 'version': '3.4.0'}",,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E18_candidate_17,/home/__compress_data/xushijie/graph_l2ra_r2_r14_forensics_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/delivery/protocol/execution_environment_audit.json,e16668effb8b090f556ae914831e8cbdde46ec9d49638cf60f82d535d17b8af6,historical adjacent record,u4b_execution_environment_audit_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E19_candidate_18,/home/__compress_data/xushijie/graph_l2ra_r2_r14_forensics_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/protocol/execution_environment_audit.json,e16668effb8b090f556ae914831e8cbdde46ec9d49638cf60f82d535d17b8af6,historical adjacent record,u4b_execution_environment_audit_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E20_candidate_19,/home/__compress_data/xushijie/graph_l2ra_r2_r14_forensics_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/protocol_v1/manifests/execution_environment_v3.json,b7d03d7b1692dde653206f4df8656050424021e95a8bc9840cae18bd039717f6,historical adjacent record,u4r1_execution_environment_audit_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E21_candidate_20,/home/__compress_data/xushijie/graph_l2ra_r2_r14_forensics_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/rounds/u4r1_8_causal_context_repair/manifests/execution_environment_v3.json,b7d03d7b1692dde653206f4df8656050424021e95a8bc9840cae18bd039717f6,historical adjacent record,u4r1_execution_environment_audit_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E22_candidate_21,/home/__compress_data/xushijie/graph_l2ra_r2_r14_forensics_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/rounds/l1v_0_scenes_and_protocol/reports/simulator_environment.json,b8b2c57fde46ff4802c0e8253585c58a47dcae52e433a8c29d94e5148718d5de,historical adjacent record,l1v_simulator_environment_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E23_candidate_22,/home/__compress_data/xushijie/graph_l2ra_r2_r14_forensics_v1_worktree/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/simulator_environment.json,b8b2c57fde46ff4802c0e8253585c58a47dcae52e433a8c29d94e5148718d5de,historical adjacent record,l1v_simulator_environment_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E24_candidate_23,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/rounds/l2ra_0_entry/environment/python_environment.json,0140186c07266d9a5cd0688422df875d56b7f4be1aa783638b18b741f0ea6952,historical adjacent record,candidate,/home/__compress_data/xushijie/.conda/envs/lerobot/bin/python,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E25_candidate_24,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/rounds/l2rar2_10_online_interface_repair/runtime_environment.json,856f5ce4dbcdd2bc0d1bc3d379d17750ada8bdebbc58535f23eb769c5b157ba3,historical adjacent record,dependency inventory for cache-only interface diagnostic,/home/xushijie/.conda/envs/lerobot/bin/python,,"{'installed': True, 'version': '3.4.0'}",,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E26_candidate_25,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/delivery/protocol/execution_environment_audit.json,e16668effb8b090f556ae914831e8cbdde46ec9d49638cf60f82d535d17b8af6,historical adjacent record,u4b_execution_environment_audit_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E27_candidate_26,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/protocol/execution_environment_audit.json,e16668effb8b090f556ae914831e8cbdde46ec9d49638cf60f82d535d17b8af6,historical adjacent record,u4b_execution_environment_audit_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E28_candidate_27,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/protocol_v1/manifests/execution_environment_v3.json,b7d03d7b1692dde653206f4df8656050424021e95a8bc9840cae18bd039717f6,historical adjacent record,u4r1_execution_environment_audit_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E29_candidate_28,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/rounds/u4r1_8_causal_context_repair/manifests/execution_environment_v3.json,b7d03d7b1692dde653206f4df8656050424021e95a8bc9840cae18bd039717f6,historical adjacent record,u4r1_execution_environment_audit_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E30_candidate_29,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/rounds/l1v_0_scenes_and_protocol/reports/simulator_environment.json,b8b2c57fde46ff4802c0e8253585c58a47dcae52e433a8c29d94e5148718d5de,historical adjacent record,l1v_simulator_environment_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
E31_candidate_30,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/simulator_environment.json,b8b2c57fde46ff4802c0e8253585c58a47dcae52e433a8c29d94e5148718d5de,historical adjacent record,l1v_simulator_environment_v1,,,,,,UNRECORDED,ADJACENT_CANDIDATE,Not treated as proof of the R14 cache collection environment.
