episode_id,root_family_id,case_id,arm_id,reference_state,is_target_observability_subset
L2RAR2_R24_BOUNDARY_02_896002__R24C3_partial_slip__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C3_partial_slip,O_C3_RAW,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_02_896002__R24C3_partial_slip__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C3_partial_slip,RECOVERY_DISABLED,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_02_896002__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C4_multisource_missing_then_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,True
L2RAR2_R24_BOUNDARY_02_896002__R24C4_multisource_missing_then_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C4_multisource_missing_then_loss,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C4_multisource_missing_then_loss,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C5_active_release_conflict,O_C3_CLP3_CANONICAL_TIME,COMMANDED_RELEASE,False
L2RAR2_R24_BOUNDARY_02_896002__R24C5_active_release_conflict__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C5_active_release_conflict,O_C3_RAW,COMMANDED_RELEASE,False
L2RAR2_R24_BOUNDARY_02_896002__R24C5_active_release_conflict__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C5_active_release_conflict,RECOVERY_DISABLED,COMMANDED_RELEASE,False
L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C6_relocation_error,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C6_relocation_error,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C6_relocation_error,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C7_regrasp_disturbance,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C7_regrasp_disturbance__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C7_regrasp_disturbance,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C7_regrasp_disturbance__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C7_regrasp_disturbance,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C8_secondary_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C8_secondary_loss,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C8_secondary_loss,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_03_896003__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C1_delayed_contact_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_03_896003__R24C1_delayed_contact_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003,R24C1_delayed_contact_loss,O_C3_RAW,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_03_896003__R24C1_delayed_contact_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003,R24C1_delayed_contact_loss,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_03_896003__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C2_loss_signal_missing,O_C3_CLP3_CANONICAL_TIME,LOSS,True
L2RAR2_R24_BOUNDARY_03_896003__R24C2_loss_signal_missing__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003,R24C2_loss_signal_missing,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_03_896003__R24C2_loss_signal_missing__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003,R24C2_loss_signal_missing,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_03_896003__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C3_partial_slip,O_C3_CLP3_CANONICAL_TIME,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_03_896003__R24C3_partial_slip__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003,R24C3_partial_slip,O_C3_RAW,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_03_896003__R24C3_partial_slip__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003,R24C3_partial_slip,RECOVERY_DISABLED,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_03_896003__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C4_multisource_missing_then_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,True
L2RAR2_R24_BOUNDARY_03_896003__R24C4_multisource_missing_then_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003,R24C4_multisource_missing_then_loss,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_03_896003__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003,R24C4_multisource_missing_then_loss,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_03_896003__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C5_active_release_conflict,O_C3_CLP3_CANONICAL_TIME,COMMANDED_RELEASE,False
L2RAR2_R24_BOUNDARY_03_896003__R24C5_active_release_conflict__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003,R24C5_active_release_conflict,O_C3_RAW,COMMANDED_RELEASE,False
L2RAR2_R24_BOUNDARY_03_896003__R24C5_active_release_conflict__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003,R24C5_active_release_conflict,RECOVERY_DISABLED,COMMANDED_RELEASE,False
L2RAR2_R24_BOUNDARY_03_896003__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C6_relocation_error,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_03_896003__R24C6_relocation_error__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003,R24C6_relocation_error,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_03_896003__R24C6_relocation_error__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003,R24C6_relocation_error,RECOVERY_DISABLED,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_03_896003__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C7_regrasp_disturbance,O_C3_CLP3_CANONICAL_TIME,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_03_896003__R24C7_regrasp_disturbance__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003,R24C7_regrasp_disturbance,O_C3_RAW,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_03_896003__R24C7_regrasp_disturbance__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003,R24C7_regrasp_disturbance,RECOVERY_DISABLED,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_03_896003__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C8_secondary_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_03_896003__R24C8_secondary_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003,R24C8_secondary_loss,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_03_896003__R24C8_secondary_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003,R24C8_secondary_loss,RECOVERY_DISABLED,UNRESOLVED,False
L2RAR2_R25_FACTORIAL_00_898000__R25C1_contact_absence_edge_missing__F0_S0_CLP3_BASELINE,L2RAR2_R25_FACTORIAL_00_898000,R25C1_contact_absence_edge_missing,F0_S0_CLP3_BASELINE,LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C1_contact_absence_edge_missing__F0_S1_SUPERVISOR_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C1_contact_absence_edge_missing,F0_S1_SUPERVISOR_ONLY,LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C1_contact_absence_edge_missing__F1_S0_FUSION_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C1_contact_absence_edge_missing,F1_S0_FUSION_ONLY,LOSS,True
L2RAR2_R25_FACTORIAL_00_898000__R25C1_contact_absence_edge_missing__F1_S1_FUSION_SUPERVISOR,L2RAR2_R25_FACTORIAL_00_898000,R25C1_contact_absence_edge_missing,F1_S1_FUSION_SUPERVISOR,LOSS,True
L2RAR2_R25_FACTORIAL_00_898000__R25C2_rgb_detach_contact_masked__F0_S0_CLP3_BASELINE,L2RAR2_R25_FACTORIAL_00_898000,R25C2_rgb_detach_contact_masked,F0_S0_CLP3_BASELINE,LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C2_rgb_detach_contact_masked__F0_S1_SUPERVISOR_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C2_rgb_detach_contact_masked,F0_S1_SUPERVISOR_ONLY,LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C2_rgb_detach_contact_masked__F1_S0_FUSION_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C2_rgb_detach_contact_masked,F1_S0_FUSION_ONLY,LOSS,True
L2RAR2_R25_FACTORIAL_00_898000__R25C2_rgb_detach_contact_masked__F1_S1_FUSION_SUPERVISOR,L2RAR2_R25_FACTORIAL_00_898000,R25C2_rgb_detach_contact_masked,F1_S1_FUSION_SUPERVISOR,LOSS,True
L2RAR2_R25_FACTORIAL_00_898000__R25C3_transient_relocation_error__F0_S0_CLP3_BASELINE,L2RAR2_R25_FACTORIAL_00_898000,R25C3_transient_relocation_error,F0_S0_CLP3_BASELINE,LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C3_transient_relocation_error__F0_S1_SUPERVISOR_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C3_transient_relocation_error,F0_S1_SUPERVISOR_ONLY,LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C3_transient_relocation_error__F1_S0_FUSION_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C3_transient_relocation_error,F1_S0_FUSION_ONLY,LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C3_transient_relocation_error__F1_S1_FUSION_SUPERVISOR,L2RAR2_R25_FACTORIAL_00_898000,R25C3_transient_relocation_error,F1_S1_FUSION_SUPERVISOR,LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C4_goal_verification_retry__F0_S0_CLP3_BASELINE,L2RAR2_R25_FACTORIAL_00_898000,R25C4_goal_verification_retry,F0_S0_CLP3_BASELINE,UNRESOLVED,False
L2RAR2_R25_FACTORIAL_00_898000__R25C4_goal_verification_retry__F0_S1_SUPERVISOR_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C4_goal_verification_retry,F0_S1_SUPERVISOR_ONLY,UNRESOLVED,False
L2RAR2_R25_FACTORIAL_00_898000__R25C4_goal_verification_retry__F1_S0_FUSION_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C4_goal_verification_retry,F1_S0_FUSION_ONLY,UNRESOLVED,False
L2RAR2_R25_FACTORIAL_00_898000__R25C4_goal_verification_retry__F1_S1_FUSION_SUPERVISOR,L2RAR2_R25_FACTORIAL_00_898000,R25C4_goal_verification_retry,F1_S1_FUSION_SUPERVISOR,UNRESOLVED,False
L2RAR2_R25_FACTORIAL_00_898000__R25C5_secondary_loss_rearm__F0_S0_CLP3_BASELINE,L2RAR2_R25_FACTORIAL_00_898000,R25C5_secondary_loss_rearm,F0_S0_CLP3_BASELINE,LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C5_secondary_loss_rearm__F0_S1_SUPERVISOR_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C5_secondary_loss_rearm,F0_S1_SUPERVISOR_ONLY,LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C5_secondary_loss_rearm__F1_S0_FUSION_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C5_secondary_loss_rearm,F1_S0_FUSION_ONLY,LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C5_secondary_loss_rearm__F1_S1_FUSION_SUPERVISOR,L2RAR2_R25_FACTORIAL_00_898000,R25C5_secondary_loss_rearm,F1_S1_FUSION_SUPERVISOR,LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C6_partial_slip_control__F0_S0_CLP3_BASELINE,L2RAR2_R25_FACTORIAL_00_898000,R25C6_partial_slip_control,F0_S0_CLP3_BASELINE,NO_LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C6_partial_slip_control__F0_S1_SUPERVISOR_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C6_partial_slip_control,F0_S1_SUPERVISOR_ONLY,NO_LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C6_partial_slip_control__F1_S0_FUSION_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C6_partial_slip_control,F1_S0_FUSION_ONLY,NO_LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C6_partial_slip_control__F1_S1_FUSION_SUPERVISOR,L2RAR2_R25_FACTORIAL_00_898000,R25C6_partial_slip_control,F1_S1_FUSION_SUPERVISOR,NO_LOSS,False
L2RAR2_R25_FACTORIAL_00_898000__R25C7_commanded_release_control__F0_S0_CLP3_BASELINE,L2RAR2_R25_FACTORIAL_00_898000,R25C7_commanded_release_control,F0_S0_CLP3_BASELINE,COMMANDED_RELEASE,False
L2RAR2_R25_FACTORIAL_00_898000__R25C7_commanded_release_control__F0_S1_SUPERVISOR_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C7_commanded_release_control,F0_S1_SUPERVISOR_ONLY,COMMANDED_RELEASE,False
L2RAR2_R25_FACTORIAL_00_898000__R25C7_commanded_release_control__F1_S0_FUSION_ONLY,L2RAR2_R25_FACTORIAL_00_898000,R25C7_commanded_release_control,F1_S0_FUSION_ONLY,COMMANDED_RELEASE,False
