diagnostic_id,episode_id,task_id,scenario,outcome,path_signature,split_original,content_group_id,analysis_weight,is_representative,case_type,controller_source,source_path
diag_transport_recovery__0008,transport_recovery__0008,transport_recovery,natural_success,success,forward,test,5693f89cc383bd64,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0008.json
diag_transport_recovery__0009,transport_recovery__0009,transport_recovery,natural_success,success,forward,test,1adab7de79a087b3,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0009.json
diag_transport_recovery__0010,transport_recovery__0010,transport_recovery,natural_success,success,forward,train,f9f56194a3c4cb04,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0010.json
diag_transport_recovery__0011,transport_recovery__0011,transport_recovery,natural_success,success,forward,train,c00409929997554a,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0011.json
diag_transport_recovery__0012,transport_recovery__0012,transport_recovery,natural_success,success,forward,train,7138dc8d62bfd4ec,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0012.json
diag_transport_recovery__0013,transport_recovery__0013,transport_recovery,natural_success,success,forward,train,58fa7ac9b1b05129,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0013.json
diag_transport_recovery__0014,transport_recovery__0014,transport_recovery,natural_success,success,forward,train,7d8b707649897a38,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0014.json
diag_transport_recovery__0015,transport_recovery__0015,transport_recovery,natural_success,success,forward,test,1a896b3ca64ea745,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0015.json
diag_transport_recovery__0016,transport_recovery__0016,transport_recovery,natural_success,success,forward,test,36bf104029b650b0,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0016.json
diag_transport_recovery__0017,transport_recovery__0017,transport_recovery,natural_success,success,forward,train,7c8b4b934da89a5d,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0017.json
diag_transport_recovery__0018,transport_recovery__0018,transport_recovery,natural_success,success,forward,train,2ee86b3c50400e39,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0018.json
diag_transport_recovery__0019,transport_recovery__0019,transport_recovery,natural_success,success,forward,train,66b4fa500b5d61be,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0019.json
diag_transport_recovery__0020,transport_recovery__0020,transport_recovery,terminal_failure,failure,forward,val,f8ebbd43afe289b7,1.0,true,terminal_failure,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0020.json
diag_transport_recovery__0021,transport_recovery__0021,transport_recovery,terminal_failure,failure,forward,train,bcf4810032a84920,1.0,true,terminal_failure,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0021.json
diag_transport_recovery__0022,transport_recovery__0022,transport_recovery,terminal_failure,failure,forward,train,b43114af5e06d305,1.0,true,terminal_failure,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0022.json
diag_transport_recovery__0023,transport_recovery__0023,transport_recovery,terminal_failure,failure,forward,val,36e1a3f0f950e323,1.0,true,terminal_failure,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0023.json
diag_transport_recovery__0024,transport_recovery__0024,transport_recovery,terminal_failure,failure,forward,val,fefec4da5dd66a39,1.0,true,terminal_failure,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0024.json
diag_transport_recovery__0025,transport_recovery__0025,transport_recovery,terminal_failure,failure,forward,test,2d5ca81a4c899672,1.0,true,terminal_failure,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0025.json
diag_transport_recovery__0026,transport_recovery__0026,transport_recovery,terminal_failure,failure,forward,train,ca2d9ca9edee215e,1.0,true,terminal_failure,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0026.json
diag_transport_recovery__0027,transport_recovery__0027,transport_recovery,terminal_failure,failure,forward,train,075037a794e82180,1.0,true,terminal_failure,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0027.json
diag_transport_recovery__0028,transport_recovery__0028,transport_recovery,terminal_failure,failure,forward,train,38b779de89988d47,1.0,true,terminal_failure,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0028.json
diag_transport_recovery__0029,transport_recovery__0029,transport_recovery,terminal_failure,failure,forward,train,1d64ccb0bdfe70da,1.0,true,terminal_failure,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0029.json
diag_transport_recovery__0030,transport_recovery__0030,transport_recovery,terminal_failure,failure,forward,test,5d4aaff760f2180c,1.0,true,terminal_failure,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0030.json
diag_transport_recovery__0031,transport_recovery__0031,transport_recovery,terminal_failure,failure,forward,test,824e13b72eb846b9,1.0,true,terminal_failure,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0031.json
diag_transport_recovery__0032,transport_recovery__0032,transport_recovery,drop_and_regrasp,success,forward,train,4e516f7adbc1caf4,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0032.json
diag_transport_recovery__0033,transport_recovery__0033,transport_recovery,drop_and_regrasp,success,forward,train,3afa7da94745e8f1,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0033.json
diag_transport_recovery__0034,transport_recovery__0034,transport_recovery,drop_and_regrasp,success,forward,train,f1c8046f1b6a2c1b,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0034.json
diag_transport_recovery__0035,transport_recovery__0035,transport_recovery,drop_and_regrasp,success,forward,train,e791ac4366f97411,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0035.json
diag_transport_recovery__0036,transport_recovery__0036,transport_recovery,drop_and_regrasp,success,forward,train,bbb1ed0f57d5ec0e,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0036.json
diag_transport_recovery__0037,transport_recovery__0037,transport_recovery,drop_and_regrasp,success,forward,train,aaae8989a1dd22e7,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0037.json
diag_transport_recovery__0038,transport_recovery__0038,transport_recovery,drop_and_regrasp,success,forward,train,a2cd4b3d58f24944,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0038.json
diag_transport_recovery__0039,transport_recovery__0039,transport_recovery,drop_and_regrasp,success,forward,test,525f9856781928c8,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0039.json
diag_transport_recovery__0040,transport_recovery__0040,transport_recovery,drop_and_regrasp,success,forward,val,68f32b646050f4d7,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0040.json
diag_transport_recovery__0041,transport_recovery__0041,transport_recovery,drop_and_regrasp,success,forward,test,5f82d437c75fed69,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0041.json
diag_transport_recovery__0042,transport_recovery__0042,transport_recovery,gripper_reopen,success,forward,test,c3f1e2e32d43989b,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0042.json
diag_transport_recovery__0043,transport_recovery__0043,transport_recovery,gripper_reopen,success,forward,train,03a5fc551f7a2c97,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0043.json
diag_transport_recovery__0044,transport_recovery__0044,transport_recovery,gripper_reopen,success,forward,train,fb7ffa8d97e3523c,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0044.json
diag_transport_recovery__0045,transport_recovery__0045,transport_recovery,gripper_reopen,success,forward,test,17cea51db8405b35,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0045.json
diag_transport_recovery__0046,transport_recovery__0046,transport_recovery,gripper_reopen,success,forward,train,624940d72e6064eb,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0046.json
diag_transport_recovery__0047,transport_recovery__0047,transport_recovery,gripper_reopen,success,forward,val,fb106d73c0342444,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0047.json
diag_transport_recovery__0048,transport_recovery__0048,transport_recovery,gripper_reopen,success,forward,train,3e7017a7401b7846,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0048.json
diag_transport_recovery__0049,transport_recovery__0049,transport_recovery,gripper_reopen,success,forward,val,44a27458c265bba1,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0049.json
diag_transport_recovery__0050,transport_recovery__0050,transport_recovery,gripper_reopen,success,forward,train,fbee41a141635376,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0050.json
diag_transport_recovery__0051,transport_recovery__0051,transport_recovery,gripper_reopen,success,forward,val,0922eee6e0d2de3f,1.0,true,recovery_success,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0051.json
