pair_id,pair_type,left_sample_id,right_sample_id,pre_failure_sample_id,task_id,split,content_group_id,margin,edge_id,edge_type,edge_cost_norm,pair_weight
transport_recovery__0020_0,temporal_decrease,transport_recovery__0020:0,transport_recovery__0020:1,,transport_recovery,val,f8ebbd43afe289b7,.10,,forward,1.0,1.0
transport_recovery__0020_60,temporal_decrease,transport_recovery__0020:60,transport_recovery__0020:61,,transport_recovery,val,f8ebbd43afe289b7,.10,,forward,1.0,1.0
transport_recovery__0021_0,temporal_decrease,transport_recovery__0021:0,transport_recovery__0021:1,,transport_recovery,train,bcf4810032a84920,.10,,forward,1.0,1.0
transport_recovery__0021_60,temporal_decrease,transport_recovery__0021:60,transport_recovery__0021:61,,transport_recovery,train,bcf4810032a84920,.10,,forward,1.0,1.0
transport_recovery__0022_0,temporal_decrease,transport_recovery__0022:0,transport_recovery__0022:1,,transport_recovery,train,b43114af5e06d305,.10,,forward,1.0,1.0
transport_recovery__0022_60,temporal_decrease,transport_recovery__0022:60,transport_recovery__0022:61,,transport_recovery,train,b43114af5e06d305,.10,,forward,1.0,1.0
transport_recovery__0023_0,temporal_decrease,transport_recovery__0023:0,transport_recovery__0023:1,,transport_recovery,val,36e1a3f0f950e323,.10,,forward,1.0,1.0
transport_recovery__0023_60,temporal_decrease,transport_recovery__0023:60,transport_recovery__0023:61,,transport_recovery,val,36e1a3f0f950e323,.10,,forward,1.0,1.0
transport_recovery__0024_0,temporal_decrease,transport_recovery__0024:0,transport_recovery__0024:1,,transport_recovery,val,fefec4da5dd66a39,.10,,forward,1.0,1.0
transport_recovery__0024_60,temporal_decrease,transport_recovery__0024:60,transport_recovery__0024:61,,transport_recovery,val,fefec4da5dd66a39,.10,,forward,1.0,1.0
transport_recovery__0025_0,temporal_decrease,transport_recovery__0025:0,transport_recovery__0025:1,,transport_recovery,test,2d5ca81a4c899672,.10,,forward,1.0,1.0
transport_recovery__0025_60,temporal_decrease,transport_recovery__0025:60,transport_recovery__0025:61,,transport_recovery,test,2d5ca81a4c899672,.10,,forward,1.0,1.0
transport_recovery__0026_0,temporal_decrease,transport_recovery__0026:0,transport_recovery__0026:1,,transport_recovery,train,ca2d9ca9edee215e,.10,,forward,1.0,1.0
transport_recovery__0026_60,temporal_decrease,transport_recovery__0026:60,transport_recovery__0026:61,,transport_recovery,train,ca2d9ca9edee215e,.10,,forward,1.0,1.0
transport_recovery__0027_0,temporal_decrease,transport_recovery__0027:0,transport_recovery__0027:1,,transport_recovery,train,075037a794e82180,.10,,forward,1.0,1.0
transport_recovery__0027_60,temporal_decrease,transport_recovery__0027:60,transport_recovery__0027:61,,transport_recovery,train,075037a794e82180,.10,,forward,1.0,1.0
transport_recovery__0028_0,temporal_decrease,transport_recovery__0028:0,transport_recovery__0028:1,,transport_recovery,train,38b779de89988d47,.10,,forward,1.0,1.0
transport_recovery__0028_60,temporal_decrease,transport_recovery__0028:60,transport_recovery__0028:61,,transport_recovery,train,38b779de89988d47,.10,,forward,1.0,1.0
transport_recovery__0029_0,temporal_decrease,transport_recovery__0029:0,transport_recovery__0029:1,,transport_recovery,train,1d64ccb0bdfe70da,.10,,forward,1.0,1.0
transport_recovery__0029_60,temporal_decrease,transport_recovery__0029:60,transport_recovery__0029:61,,transport_recovery,train,1d64ccb0bdfe70da,.10,,forward,1.0,1.0
transport_recovery__0030_0,temporal_decrease,transport_recovery__0030:0,transport_recovery__0030:1,,transport_recovery,test,5d4aaff760f2180c,.10,,forward,1.0,1.0
transport_recovery__0030_60,temporal_decrease,transport_recovery__0030:60,transport_recovery__0030:61,,transport_recovery,test,5d4aaff760f2180c,.10,,forward,1.0,1.0
transport_recovery__0031_0,temporal_decrease,transport_recovery__0031:0,transport_recovery__0031:1,,transport_recovery,test,824e13b72eb846b9,.10,,forward,1.0,1.0
transport_recovery__0031_60,temporal_decrease,transport_recovery__0031:60,transport_recovery__0031:61,,transport_recovery,test,824e13b72eb846b9,.10,,forward,1.0,1.0
transport_recovery__0032_0,temporal_decrease,transport_recovery__0032:0,transport_recovery__0032:1,,transport_recovery,train,4e516f7adbc1caf4,.10,,forward,1.0,1.0
transport_recovery__0032_60,temporal_decrease,transport_recovery__0032:60,transport_recovery__0032:61,,transport_recovery,train,4e516f7adbc1caf4,.10,,forward,1.0,1.0
transport_recovery__0033_0,temporal_decrease,transport_recovery__0033:0,transport_recovery__0033:1,,transport_recovery,train,3afa7da94745e8f1,.10,,forward,1.0,1.0
transport_recovery__0033_60,temporal_decrease,transport_recovery__0033:60,transport_recovery__0033:61,,transport_recovery,train,3afa7da94745e8f1,.10,,forward,1.0,1.0
transport_recovery__0034_0,temporal_decrease,transport_recovery__0034:0,transport_recovery__0034:1,,transport_recovery,train,f1c8046f1b6a2c1b,.10,,forward,1.0,1.0
transport_recovery__0034_60,temporal_decrease,transport_recovery__0034:60,transport_recovery__0034:61,,transport_recovery,train,f1c8046f1b6a2c1b,.10,,forward,1.0,1.0
transport_recovery__0035_0,temporal_decrease,transport_recovery__0035:0,transport_recovery__0035:1,,transport_recovery,train,e791ac4366f97411,.10,,forward,1.0,1.0
transport_recovery__0035_60,temporal_decrease,transport_recovery__0035:60,transport_recovery__0035:61,,transport_recovery,train,e791ac4366f97411,.10,,forward,1.0,1.0
transport_recovery__0036_0,temporal_decrease,transport_recovery__0036:0,transport_recovery__0036:1,,transport_recovery,train,bbb1ed0f57d5ec0e,.10,,forward,1.0,1.0
transport_recovery__0036_60,temporal_decrease,transport_recovery__0036:60,transport_recovery__0036:61,,transport_recovery,train,bbb1ed0f57d5ec0e,.10,,forward,1.0,1.0
transport_recovery__0037_0,temporal_decrease,transport_recovery__0037:0,transport_recovery__0037:1,,transport_recovery,train,aaae8989a1dd22e7,.10,,forward,1.0,1.0
transport_recovery__0037_60,temporal_decrease,transport_recovery__0037:60,transport_recovery__0037:61,,transport_recovery,train,aaae8989a1dd22e7,.10,,forward,1.0,1.0
transport_recovery__0038_0,temporal_decrease,transport_recovery__0038:0,transport_recovery__0038:1,,transport_recovery,train,a2cd4b3d58f24944,.10,,forward,1.0,1.0
transport_recovery__0038_60,temporal_decrease,transport_recovery__0038:60,transport_recovery__0038:61,,transport_recovery,train,a2cd4b3d58f24944,.10,,forward,1.0,1.0
transport_recovery__0039_0,temporal_decrease,transport_recovery__0039:0,transport_recovery__0039:1,,transport_recovery,test,525f9856781928c8,.10,,forward,1.0,1.0
transport_recovery__0039_60,temporal_decrease,transport_recovery__0039:60,transport_recovery__0039:61,,transport_recovery,test,525f9856781928c8,.10,,forward,1.0,1.0
transport_recovery__0040_0,temporal_decrease,transport_recovery__0040:0,transport_recovery__0040:1,,transport_recovery,val,68f32b646050f4d7,.10,,forward,1.0,1.0
transport_recovery__0040_60,temporal_decrease,transport_recovery__0040:60,transport_recovery__0040:61,,transport_recovery,val,68f32b646050f4d7,.10,,forward,1.0,1.0
transport_recovery__0041_0,temporal_decrease,transport_recovery__0041:0,transport_recovery__0041:1,,transport_recovery,test,5f82d437c75fed69,.10,,forward,1.0,1.0
transport_recovery__0041_60,temporal_decrease,transport_recovery__0041:60,transport_recovery__0041:61,,transport_recovery,test,5f82d437c75fed69,.10,,forward,1.0,1.0
transport_recovery__0042_0,temporal_decrease,transport_recovery__0042:0,transport_recovery__0042:1,,transport_recovery,test,c3f1e2e32d43989b,.10,,forward,1.0,1.0
transport_recovery__0042_60,temporal_decrease,transport_recovery__0042:60,transport_recovery__0042:61,,transport_recovery,test,c3f1e2e32d43989b,.10,,forward,1.0,1.0
transport_recovery__0043_0,temporal_decrease,transport_recovery__0043:0,transport_recovery__0043:1,,transport_recovery,train,03a5fc551f7a2c97,.10,,forward,1.0,1.0
transport_recovery__0043_60,temporal_decrease,transport_recovery__0043:60,transport_recovery__0043:61,,transport_recovery,train,03a5fc551f7a2c97,.10,,forward,1.0,1.0
transport_recovery__0044_0,temporal_decrease,transport_recovery__0044:0,transport_recovery__0044:1,,transport_recovery,train,fb7ffa8d97e3523c,.10,,forward,1.0,1.0
transport_recovery__0044_60,temporal_decrease,transport_recovery__0044:60,transport_recovery__0044:61,,transport_recovery,train,fb7ffa8d97e3523c,.10,,forward,1.0,1.0
transport_recovery__0045_0,temporal_decrease,transport_recovery__0045:0,transport_recovery__0045:1,,transport_recovery,test,17cea51db8405b35,.10,,forward,1.0,1.0
transport_recovery__0045_60,temporal_decrease,transport_recovery__0045:60,transport_recovery__0045:61,,transport_recovery,test,17cea51db8405b35,.10,,forward,1.0,1.0
transport_recovery__0046_0,temporal_decrease,transport_recovery__0046:0,transport_recovery__0046:1,,transport_recovery,train,624940d72e6064eb,.10,,forward,1.0,1.0
transport_recovery__0046_60,temporal_decrease,transport_recovery__0046:60,transport_recovery__0046:61,,transport_recovery,train,624940d72e6064eb,.10,,forward,1.0,1.0
transport_recovery__0047_0,temporal_decrease,transport_recovery__0047:0,transport_recovery__0047:1,,transport_recovery,val,fb106d73c0342444,.10,,forward,1.0,1.0
transport_recovery__0047_60,temporal_decrease,transport_recovery__0047:60,transport_recovery__0047:61,,transport_recovery,val,fb106d73c0342444,.10,,forward,1.0,1.0
transport_recovery__0048_0,temporal_decrease,transport_recovery__0048:0,transport_recovery__0048:1,,transport_recovery,train,3e7017a7401b7846,.10,,forward,1.0,1.0
transport_recovery__0048_60,temporal_decrease,transport_recovery__0048:60,transport_recovery__0048:61,,transport_recovery,train,3e7017a7401b7846,.10,,forward,1.0,1.0
transport_recovery__0049_0,temporal_decrease,transport_recovery__0049:0,transport_recovery__0049:1,,transport_recovery,val,44a27458c265bba1,.10,,forward,1.0,1.0
transport_recovery__0049_60,temporal_decrease,transport_recovery__0049:60,transport_recovery__0049:61,,transport_recovery,val,44a27458c265bba1,.10,,forward,1.0,1.0
transport_recovery__0050_0,temporal_decrease,transport_recovery__0050:0,transport_recovery__0050:1,,transport_recovery,train,fbee41a141635376,.10,,forward,1.0,1.0
transport_recovery__0050_60,temporal_decrease,transport_recovery__0050:60,transport_recovery__0050:61,,transport_recovery,train,fbee41a141635376,.10,,forward,1.0,1.0
transport_recovery__0051_0,temporal_decrease,transport_recovery__0051:0,transport_recovery__0051:1,,transport_recovery,val,0922eee6e0d2de3f,.10,,forward,1.0,1.0
transport_recovery__0051_60,temporal_decrease,transport_recovery__0051:60,transport_recovery__0051:61,,transport_recovery,val,0922eee6e0d2de3f,.10,,forward,1.0,1.0
probe_failure_recovery,failure_increase,transport_recovery__0000:10,transport_recovery__0000:5,,transport_recovery,test,48192627e0ecdae9,.10,,failure,1.0,1.0
probe_recovery_decrease,recovery_decrease,transport_recovery__0000:10,transport_recovery__0000:20,transport_recovery__0000:5,transport_recovery,test,48192627e0ecdae9,.10,,recovery,1.0,1.0
