blind_id,request_id,case_id,root_family_id,condition,split,input_view_count,candidate_sha256
E037,confirm_F06_B_V2,F06_B,F06,V2,confirm,2,98780e471f0b221a9b92b3ab45a3f43470c4f6863fe5d38da753a8de79839ebd
E038,confirm_F10_A_T,F10_A,F10,T,confirm,0,01a304682492fc85452de56ed756cbdae5093f6ed1feb629b1776c4d1b74d3f2
E039,confirm_F06_A_T,F06_A,F06,T,confirm,0,7b00778f7dbfa58850852802a8076335d06a5c9bb8f3b438c6ac658efa88f9d2
E040,confirm_F08_B_T,F08_B,F08,T,confirm,0,5fc5c9d8ea35ae8413a4b1e1e4af6f0f9e9506a133f220d6ea4cfb4950cb8c45
E041,confirm_F06_B_V1,F06_B,F06,V1,confirm,1,0446a907ca467e76b6969a1031c10c6989071ed6b899fcbf4b0511810328ec27
E042,confirm_F03_B_V1,F03_B,F03,V1,confirm,1,5fb6504592452aa98fee8373ce27d4e7f83184e4c485ea61c378c2840456b82e
E043,confirm_F12_B_V2,F12_B,F12,V2,confirm,2,ccffb78dab550bacf8a0019937a1f41e6319b61b38ca659e475ad8595e4b34f2
E044,confirm_F03_A_V1,F03_A,F03,V1,confirm,1,0e8800a2a04727d622c3f7cb2d67b748df8232cb46c9fab5b8124b694f269210
E045,confirm_F08_A_V2,F08_A,F08,V2,confirm,2,a7abff9b68b952f83bf440de802fb08ae80c471fe21113f02facb981a4039535
E046,confirm_F04_B_V1,F04_B,F04,V1,confirm,1,76f9d60af3d5afc0e2fae9f212735415971c44d9e604847998d6463ceb7f3a2c
E047,confirm_F07_B_V1,F07_B,F07,V1,confirm,1,6be8fd0888f79a5e43067520c88fbd79c75e441db4ff6896c6834cd8cfd6aa2f
E048,confirm_F04_B_T,F04_B,F04,T,confirm,0,6884809b69ff47522c9fe9aa0fcd67897cd9764028e511d23044a62ebfa1e0fd
E049,confirm_F10_B_T,F10_B,F10,T,confirm,0,38bb4d0d911aa75abceb1b13af0e6a7ead187942967619fa7696e42f55c2858a
E050,confirm_F11_B_V1,F11_B,F11,V1,confirm,1,d1d5499eba1d030fb74f4582c6dfeb334e99594a3b59a660d32acd3170536567
E051,confirm_F04_A_V1,F04_A,F04,V1,confirm,1,674b97274d7fcf2b3722d5a17e9bb650e9307b8e3b119966039973487c11d0f6
E052,confirm_F07_A_V2,F07_A,F07,V2,confirm,2,356cf4f58f245de9a2d9abb8825521d35ee8c42fe4de6d20a2046e84f8757198
E053,confirm_F04_A_T,F04_A,F04,T,confirm,0,56cc30441d70ae1e1f37bfa1c7db776b44bf4d84067dd02e4c6514e0684c0e97
E054,confirm_F04_A_V2,F04_A,F04,V2,confirm,2,2dddad8f4b9d6172c348f2fe10450b17a56b85025eb63771410a5c610b9a8152
