episode_id,method,signed_return,positive_weight_sum,transitions
P1V5_F00_920000__R3_loss_at_80pct_recover_success,GRAPH_COST_ONLY,0.6666666666666667,1.3333333333333333,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,GRAPH_COST_PHI,1.1107686540134531,1.77743532068012,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,GRAPH_COST_DEBT,0.6666666666666667,1.3333333333333333,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,FULL_FROZEN,1.1107686540134531,1.77743532068012,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,NO_RECOVERY_CREDIT,0.7774353206801199,1.4441019873467866,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,PAIRED_EVENT_BALANCED_V1,0.0,1.0,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,GLOBAL_POTENTIAL_AUDIT_V1,0.6666666666666667,2.216545571106968,117
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,SPARSE_TERMINAL,1.0,1.0,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,LINEAR_A_FIRST,1.0,3.75,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,LINEAR_B_FIRST,1.0,3.75,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,UNORDERED_COMPLETION_PROGRESS,1.0,3.75,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,GRAPH_COST_ONLY,0.666666666666667,3.333333333333333,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,GRAPH_COST_PHI,1.5788241383901511,4.264193531341982,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,GRAPH_COST_DEBT,0.666666666666667,3.333333333333333,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,FULL_FROZEN,1.5788241383901511,4.264193531341982,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,NO_RECOVERY_CREDIT,-0.08784252827651584,2.5975268646753156,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,PAIRED_EVENT_BALANCED_V1,0.0,3.0,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,GLOBAL_POTENTIAL_AUDIT_V1,0.6666666666666667,4.801685834908474,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,SPARSE_TERMINAL,1.0,1.0,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,LINEAR_A_FIRST,1.0,4.25,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,LINEAR_B_FIRST,1.0,4.25,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,UNORDERED_COMPLETION_PROGRESS,1.0,4.25,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,GRAPH_COST_ONLY,0.6666666666666667,3.333333333333333,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,GRAPH_COST_PHI,1.8624512633467685,4.579343645570456,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,GRAPH_COST_DEBT,0.6666666666666667,3.333333333333333,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,FULL_FROZEN,1.8624512633467685,4.579343645570456,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,NO_RECOVERY_CREDIT,0.8624512633467685,3.579343645570458,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,PAIRED_EVENT_BALANCED_V1,0.0,3.0,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,GLOBAL_POTENTIAL_AUDIT_V1,0.6666666666666665,5.150651566585839,289
P1V5_F00_920000__R6_three_closed_cycles_then_stop,SPARSE_TERMINAL,0.0,0.0,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,LINEAR_A_FIRST,0.5,3.0,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,LINEAR_B_FIRST,0.5,3.0,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,UNORDERED_COMPLETION_PROGRESS,0.5,3.0,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,GRAPH_COST_ONLY,0.3333333333333336,2.833333333333333,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,GRAPH_COST_PHI,0.9351554610272151,3.4538581873123793,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,GRAPH_COST_DEBT,0.3333333333333336,2.833333333333333,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,FULL_FROZEN,0.9351554610272151,3.4538581873123793,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,NO_RECOVERY_CREDIT,-0.7315112056394516,1.7871915206457132,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,PAIRED_EVENT_BALANCED_V1,0.0,3.0,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,GLOBAL_POTENTIAL_AUDIT_V1,0.5188032298844029,3.9913504908788724,255
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,SPARSE_TERMINAL,0.0,0.0,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,LINEAR_A_FIRST,0.0,0.75,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,LINEAR_B_FIRST,0.0,0.75,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,UNORDERED_COMPLETION_PROGRESS,0.0,0.75,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,GRAPH_COST_ONLY,-0.3333333333333333,0.5,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,GRAPH_COST_PHI,-0.13943087247490327,0.6939024608584301,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,GRAPH_COST_DEBT,-0.3333333333333333,0.5,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,FULL_FROZEN,-0.13943087247490327,0.6939024608584301,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,NO_RECOVERY_CREDIT,-0.30609753914157,0.5272357941917634,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,PAIRED_EVENT_BALANCED_V1,-1.0,0.0,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,GLOBAL_POTENTIAL_AUDIT_V1,-0.33333333333333337,0.6939024608584301,57
P1V5_F00_920000__R8_commanded_release,SPARSE_TERMINAL,0.0,0.0,41
P1V5_F00_920000__R8_commanded_release,LINEAR_A_FIRST,0.0,0.5,41
P1V5_F00_920000__R8_commanded_release,LINEAR_B_FIRST,0.0,0.5,41
P1V5_F00_920000__R8_commanded_release,UNORDERED_COMPLETION_PROGRESS,0.0,0.5,41
P1V5_F00_920000__R8_commanded_release,GRAPH_COST_ONLY,-0.33333333333333337,0.33333333333333337,41
P1V5_F00_920000__R8_commanded_release,GRAPH_COST_PHI,-0.33333333333333337,0.33333333333333337,41
P1V5_F00_920000__R8_commanded_release,GRAPH_COST_DEBT,-0.5000000000000001,0.16666666666666663,41
P1V5_F00_920000__R8_commanded_release,FULL_FROZEN,-0.5000000000000001,0.16666666666666663,41
P1V5_F00_920000__R8_commanded_release,NO_RECOVERY_CREDIT,-0.5000000000000001,0.16666666666666663,41
P1V5_F00_920000__R8_commanded_release,PAIRED_EVENT_BALANCED_V1,0.0,0.0,41
P1V5_F00_920000__R8_commanded_release,GLOBAL_POTENTIAL_AUDIT_V1,-0.33333333333333337,0.33333333333333337,41
P1V5_F01_920001__D1_A_then_B_clean_success,SPARSE_TERMINAL,1.0,1.0,131
P1V5_F01_920001__D1_A_then_B_clean_success,LINEAR_A_FIRST,1.0,1.0,131
P1V5_F01_920001__D1_A_then_B_clean_success,LINEAR_B_FIRST,1.0,1.0,131
P1V5_F01_920001__D1_A_then_B_clean_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,131
P1V5_F01_920001__D1_A_then_B_clean_success,GRAPH_COST_ONLY,0.75,0.75,131
P1V5_F01_920001__D1_A_then_B_clean_success,GRAPH_COST_PHI,0.75,0.75,131
P1V5_F01_920001__D1_A_then_B_clean_success,GRAPH_COST_DEBT,0.75,0.75,131
P1V5_F01_920001__D1_A_then_B_clean_success,FULL_FROZEN,0.75,0.75,131
P1V5_F01_920001__D1_A_then_B_clean_success,NO_RECOVERY_CREDIT,0.75,0.75,131
P1V5_F01_920001__D1_A_then_B_clean_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,131
P1V5_F01_920001__D1_A_then_B_clean_success,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,131
P1V5_F01_920001__D2_B_then_A_clean_success,SPARSE_TERMINAL,1.0,1.0,131
P1V5_F01_920001__D2_B_then_A_clean_success,LINEAR_A_FIRST,1.0,1.0,131
P1V5_F01_920001__D2_B_then_A_clean_success,LINEAR_B_FIRST,1.0,1.0,131
P1V5_F01_920001__D2_B_then_A_clean_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,131
P1V5_F01_920001__D2_B_then_A_clean_success,GRAPH_COST_ONLY,0.75,0.75,131
P1V5_F01_920001__D2_B_then_A_clean_success,GRAPH_COST_PHI,0.75,0.75,131
P1V5_F01_920001__D2_B_then_A_clean_success,GRAPH_COST_DEBT,0.75,0.75,131
P1V5_F01_920001__D2_B_then_A_clean_success,FULL_FROZEN,0.75,0.75,131
P1V5_F01_920001__D2_B_then_A_clean_success,NO_RECOVERY_CREDIT,0.75,0.75,131
P1V5_F01_920001__D2_B_then_A_clean_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,131
P1V5_F01_920001__D2_B_then_A_clean_success,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,131
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,SPARSE_TERMINAL,1.0,1.0,171
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,LINEAR_A_FIRST,1.0,1.0,171
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,LINEAR_B_FIRST,1.0,1.0,171
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,171
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_ONLY,0.75,0.75,171
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_PHI,0.75,0.75,171
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_DEBT,0.75,0.75,171
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,FULL_FROZEN,0.75,0.75,171
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,NO_RECOVERY_CREDIT,0.75,0.75,171
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,171
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,171
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,SPARSE_TERMINAL,1.0,1.0,171
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,LINEAR_A_FIRST,1.0,1.0,171
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,LINEAR_B_FIRST,1.0,1.0,171
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,171
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_ONLY,0.75,0.75,171
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_PHI,0.75,0.75,171
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_DEBT,0.75,0.75,171
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,FULL_FROZEN,0.75,0.75,171
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,NO_RECOVERY_CREDIT,0.75,0.75,171
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,171
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,171
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,SPARSE_TERMINAL,1.0,1.0,259
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,LINEAR_A_FIRST,1.0,1.3333333333333335,259
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,LINEAR_B_FIRST,1.0,1.3333333333333335,259
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,UNORDERED_COMPLETION_PROGRESS,1.0,1.3333333333333335,259
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,GRAPH_COST_ONLY,0.75,1.0,259
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,GRAPH_COST_PHI,0.75,1.0,259
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,GRAPH_COST_DEBT,0.75,1.0,259
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,FULL_FROZEN,0.75,1.0,259
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,NO_RECOVERY_CREDIT,0.75,1.0,259
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,PAIRED_EVENT_BALANCED_V1,0.0,0.0,259
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,GLOBAL_POTENTIAL_AUDIT_V1,0.75,1.0,259
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,SPARSE_TERMINAL,0.0,0.0,139
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,LINEAR_A_FIRST,0.3333333333333333,0.6666666666666666,139
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,LINEAR_B_FIRST,0.3333333333333333,0.6666666666666666,139
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,UNORDERED_COMPLETION_PROGRESS,0.3333333333333333,0.6666666666666666,139
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,GRAPH_COST_ONLY,0.25,0.5,139
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,GRAPH_COST_PHI,0.25,0.5,139
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,GRAPH_COST_DEBT,0.25,0.5,139
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,FULL_FROZEN,0.25,0.5,139
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,NO_RECOVERY_CREDIT,0.25,0.5,139
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,PAIRED_EVENT_BALANCED_V1,0.0,0.0,139
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,GLOBAL_POTENTIAL_AUDIT_V1,0.25,0.5,139
P1V5_F01_920001__R1_clean_transport_success,SPARSE_TERMINAL,1.0,1.0,67
P1V5_F01_920001__R1_clean_transport_success,LINEAR_A_FIRST,1.0,1.25,67
P1V5_F01_920001__R1_clean_transport_success,LINEAR_B_FIRST,1.0,1.25,67
P1V5_F01_920001__R1_clean_transport_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.25,67
P1V5_F01_920001__R1_clean_transport_success,GRAPH_COST_ONLY,0.6666666666666666,0.8333333333333333,67
P1V5_F01_920001__R1_clean_transport_success,GRAPH_COST_PHI,0.9616732177617677,1.3248489250078606,67
P1V5_F01_920001__R1_clean_transport_success,GRAPH_COST_DEBT,0.6666666666666666,0.8333333333333333,67
P1V5_F01_920001__R1_clean_transport_success,FULL_FROZEN,0.9616732177617677,1.3248489250078606,67
P1V5_F01_920001__R1_clean_transport_success,NO_RECOVERY_CREDIT,0.9616732177617677,1.3248489250078606,67
P1V5_F01_920001__R1_clean_transport_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,67
P1V5_F01_920001__R1_clean_transport_success,GLOBAL_POTENTIAL_AUDIT_V1,0.6666666666666665,1.3248489250078606,67
P1V5_F01_920001__R2_loss_at_40pct_recover_success,SPARSE_TERMINAL,1.0,1.0,117
P1V5_F01_920001__R2_loss_at_40pct_recover_success,LINEAR_A_FIRST,1.0,1.75,117
P1V5_F01_920001__R2_loss_at_40pct_recover_success,LINEAR_B_FIRST,1.0,1.75,117
P1V5_F01_920001__R2_loss_at_40pct_recover_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.75,117
P1V5_F01_920001__R2_loss_at_40pct_recover_success,GRAPH_COST_ONLY,0.6666666666666667,1.3333333333333333,117
P1V5_F01_920001__R2_loss_at_40pct_recover_success,GRAPH_COST_PHI,0.9075957213279111,1.5916134494525271,117
P1V5_F01_920001__R2_loss_at_40pct_recover_success,GRAPH_COST_DEBT,0.6666666666666667,1.3333333333333333,117
P1V5_F01_920001__R2_loss_at_40pct_recover_success,FULL_FROZEN,0.9075957213279111,1.5916134494525271,117
P1V5_F01_920001__R2_loss_at_40pct_recover_success,NO_RECOVERY_CREDIT,0.5742623879945781,1.2582801161191939,117
P1V5_F01_920001__R2_loss_at_40pct_recover_success,PAIRED_EVENT_BALANCED_V1,0.0,1.0,117
P1V5_F01_920001__R2_loss_at_40pct_recover_success,GLOBAL_POTENTIAL_AUDIT_V1,0.6666666666666667,2.0318829517084698,117
P1V5_F01_920001__R3_loss_at_80pct_recover_success,SPARSE_TERMINAL,1.0,1.0,117
P1V5_F01_920001__R3_loss_at_80pct_recover_success,LINEAR_A_FIRST,1.0,1.75,117
P1V5_F01_920001__R3_loss_at_80pct_recover_success,LINEAR_B_FIRST,1.0,1.75,117
P1V5_F01_920001__R3_loss_at_80pct_recover_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.75,117
