segment_id,episode_id,root_family_id,split,start_t,end_t,duration,boundary_confidence_start,boundary_confidence_end,unknown_fraction,observable_contact_history,observable_contact_loss_count,source_method
formal_u2_family_001_r00_s00,formal_u2_family_001_r00,u2_family_001,train,0,2,3,0.35071641206741333,0.6803870797157288,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r00_s01,formal_u2_family_001_r00,u2_family_001,train,3,6,4,0.4986759424209595,0.9331253170967102,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r00_s02,formal_u2_family_001_r00,u2_family_001,train,7,16,10,0.3079228401184082,0.5035127401351929,0.3,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r00_s03,formal_u2_family_001_r00,u2_family_001,train,17,19,3,0.501729428768158,0.6545555591583252,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r00_s04,formal_u2_family_001_r00,u2_family_001,train,20,25,6,0.4981411397457123,0.9815539121627808,0.8333333333333334,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r00_s05,formal_u2_family_001_r00,u2_family_001,train,26,27,2,0.5807340145111084,0.546973466873169,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r01_s00,formal_u2_family_001_r01,u2_family_001,train,0,2,3,0.3473840355873108,0.6841220855712891,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r01_s01,formal_u2_family_001_r01,u2_family_001,train,3,6,4,0.5027720928192139,0.9320528507232666,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r01_s02,formal_u2_family_001_r01,u2_family_001,train,7,16,10,0.32135969400405884,0.5137839317321777,0.6,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r01_s03,formal_u2_family_001_r01,u2_family_001,train,17,23,7,0.6511343121528625,0.9823508262634277,0.8571428571428571,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r01_s04,formal_u2_family_001_r01,u2_family_001,train,24,25,2,0.5830584168434143,0.5285229086875916,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r02_s00,formal_u2_family_001_r02,u2_family_001,train,0,2,3,0.3512503206729889,0.679064929485321,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r02_s01,formal_u2_family_001_r02,u2_family_001,train,3,5,3,0.494044691324234,0.9354868531227112,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r02_s02,formal_u2_family_001_r02,u2_family_001,train,6,16,11,0.3422706723213196,0.508504331111908,0.5454545454545454,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r02_s03,formal_u2_family_001_r02,u2_family_001,train,17,19,3,0.6500493288040161,0.5064348578453064,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r02_s04,formal_u2_family_001_r02,u2_family_001,train,20,22,3,0.4928751587867737,0.5767536759376526,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r02_s05,formal_u2_family_001_r02,u2_family_001,train,23,23,1,0.5677297711372375,0.5677297711372375,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r03_s00,formal_u2_family_001_r03,u2_family_001,train,0,2,3,0.34944647550582886,0.6843242049217224,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r03_s01,formal_u2_family_001_r03,u2_family_001,train,3,5,3,0.5017242431640625,0.9659467339515686,0.3333333333333333,True,1,offline_teacher_to_causal_s623
formal_u2_family_001_r03_s02,formal_u2_family_001_r03,u2_family_001,train,6,8,3,0.9440268278121948,0.9246636629104614,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r03_s03,formal_u2_family_001_r03,u2_family_001,train,9,19,11,0.40960127115249634,0.5117290019989014,0.6363636363636364,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r03_s04,formal_u2_family_001_r03,u2_family_001,train,20,22,3,0.6521159410476685,0.5121757388114929,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r03_s05,formal_u2_family_001_r03,u2_family_001,train,23,25,3,0.49889108538627625,0.5839695930480957,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r03_s06,formal_u2_family_001_r03,u2_family_001,train,26,26,1,0.5286219120025635,0.5286219120025635,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r04_s00,formal_u2_family_001_r04,u2_family_001,train,0,2,3,0.34949588775634766,0.679445743560791,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r04_s01,formal_u2_family_001_r04,u2_family_001,train,3,5,3,0.5025305151939392,0.966371476650238,0.3333333333333333,True,1,offline_teacher_to_causal_s623
formal_u2_family_001_r04_s02,formal_u2_family_001_r04,u2_family_001,train,6,9,4,0.944437563419342,0.9372938871383667,0.5,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r04_s03,formal_u2_family_001_r04,u2_family_001,train,10,19,10,0.34050241112709045,0.514968991279602,0.6,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r04_s04,formal_u2_family_001_r04,u2_family_001,train,20,22,3,0.6436792612075806,0.5042908191680908,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r04_s05,formal_u2_family_001_r04,u2_family_001,train,23,25,3,0.4944791793823242,0.9858173727989197,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r04_s06,formal_u2_family_001_r04,u2_family_001,train,26,27,2,0.5859254002571106,0.6015122532844543,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r05_s00,formal_u2_family_001_r05,u2_family_001,train,0,2,3,0.35245245695114136,0.6786494255065918,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r05_s01,formal_u2_family_001_r05,u2_family_001,train,3,7,5,0.4975394606590271,0.9271586537361145,0.8,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r05_s02,formal_u2_family_001_r05,u2_family_001,train,8,15,8,0.28828755021095276,0.6517580151557922,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r05_s03,formal_u2_family_001_r05,u2_family_001,train,16,18,3,0.5069343447685242,0.5065076947212219,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_001_r05_s04,formal_u2_family_001_r05,u2_family_001,train,19,21,3,0.9870566129684448,0.5479715466499329,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r00_s00,formal_u2_family_002_r00,u2_family_002,train,0,2,3,0.3487180471420288,0.6808484792709351,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r00_s01,formal_u2_family_002_r00,u2_family_002,train,3,5,3,0.9263144135475159,0.9521272778511047,0.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r00_s02,formal_u2_family_002_r00,u2_family_002,train,6,8,3,0.7325876951217651,0.5018205642700195,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r00_s03,formal_u2_family_002_r00,u2_family_002,train,9,20,12,0.9301297664642334,0.644231915473938,0.5,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r00_s04,formal_u2_family_002_r00,u2_family_002,train,21,24,4,0.5016992092132568,0.5074326395988464,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r00_s05,formal_u2_family_002_r00,u2_family_002,train,25,27,3,0.9859132170677185,0.5799596905708313,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r01_s00,formal_u2_family_002_r01,u2_family_002,train,0,2,3,0.3491651117801666,0.679703950881958,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r01_s01,formal_u2_family_002_r01,u2_family_002,train,3,5,3,0.9257665872573853,0.9553675055503845,0.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r01_s02,formal_u2_family_002_r01,u2_family_002,train,6,8,3,0.7301559448242188,0.9402173757553101,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r01_s03,formal_u2_family_002_r01,u2_family_002,train,9,18,10,0.3504635691642761,0.6377850770950317,0.7,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r01_s04,formal_u2_family_002_r01,u2_family_002,train,19,21,3,0.5004462003707886,0.5111387372016907,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r01_s05,formal_u2_family_002_r01,u2_family_002,train,22,24,3,0.9872089624404907,0.5534821152687073,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r02_s00,formal_u2_family_002_r02,u2_family_002,train,0,2,3,0.3478643298149109,0.6816274523735046,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r02_s01,formal_u2_family_002_r02,u2_family_002,train,3,5,3,0.9259552359580994,0.9564102292060852,0.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r02_s02,formal_u2_family_002_r02,u2_family_002,train,6,19,14,0.6754921078681946,0.5038706064224243,0.35714285714285715,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r02_s03,formal_u2_family_002_r02,u2_family_002,train,20,22,3,0.5011691451072693,0.6525007486343384,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r02_s04,formal_u2_family_002_r02,u2_family_002,train,23,27,5,0.49821266531944275,0.9849169850349426,0.8,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r02_s05,formal_u2_family_002_r02,u2_family_002,train,28,29,2,0.5835215449333191,0.5585883855819702,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r03_s00,formal_u2_family_002_r03,u2_family_002,train,0,2,3,0.3480537533760071,0.6814807653427124,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r03_s01,formal_u2_family_002_r03,u2_family_002,train,3,5,3,0.9264717698097229,0.9514100551605225,0.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r03_s02,formal_u2_family_002_r03,u2_family_002,train,6,8,3,0.7316160202026367,0.5003034472465515,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r03_s03,formal_u2_family_002_r03,u2_family_002,train,9,19,11,0.9309179782867432,0.5001248121261597,0.36363636363636365,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r03_s04,formal_u2_family_002_r03,u2_family_002,train,20,22,3,0.493821918964386,0.6494861841201782,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r03_s05,formal_u2_family_002_r03,u2_family_002,train,23,27,5,0.495620459318161,0.9850651621818542,0.8,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r03_s06,formal_u2_family_002_r03,u2_family_002,train,28,29,2,0.5817631483078003,0.586712121963501,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r04_s00,formal_u2_family_002_r04,u2_family_002,train,0,2,3,0.3489625155925751,0.6811314821243286,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r04_s01,formal_u2_family_002_r04,u2_family_002,train,3,5,3,0.9260444641113281,0.953385055065155,0.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r04_s02,formal_u2_family_002_r04,u2_family_002,train,6,8,3,0.7325637340545654,0.5005522966384888,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r04_s03,formal_u2_family_002_r04,u2_family_002,train,9,19,11,0.9298165440559387,0.6428070068359375,0.5454545454545454,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r04_s04,formal_u2_family_002_r04,u2_family_002,train,20,22,3,0.5016867518424988,0.5035604238510132,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r04_s05,formal_u2_family_002_r04,u2_family_002,train,23,25,3,0.508529007434845,0.5885884761810303,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r04_s06,formal_u2_family_002_r04,u2_family_002,train,26,26,1,0.5431352257728577,0.5431352257728577,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r05_s00,formal_u2_family_002_r05,u2_family_002,train,0,2,3,0.3497747778892517,0.6811467409133911,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r05_s01,formal_u2_family_002_r05,u2_family_002,train,3,5,3,0.9258847832679749,0.9479870796203613,0.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r05_s02,formal_u2_family_002_r05,u2_family_002,train,6,8,3,0.7007312774658203,0.9375333786010742,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r05_s03,formal_u2_family_002_r05,u2_family_002,train,9,19,11,0.3465467095375061,0.5022992491722107,0.36363636363636365,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r05_s04,formal_u2_family_002_r05,u2_family_002,train,20,22,3,0.49927493929862976,0.6527859568595886,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r05_s05,formal_u2_family_002_r05,u2_family_002,train,23,27,5,0.49728304147720337,0.9847027659416199,0.8,True,0,offline_teacher_to_causal_s623
formal_u2_family_002_r05_s06,formal_u2_family_002_r05,u2_family_002,train,28,29,2,0.5797871947288513,0.5571463108062744,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r00_s00,formal_u2_family_003_r00,u2_family_003,train,0,2,3,0.35135331749916077,0.6802162528038025,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r00_s01,formal_u2_family_003_r00,u2_family_003,train,3,5,3,0.497168630361557,0.9355747103691101,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r00_s02,formal_u2_family_003_r00,u2_family_003,train,6,17,12,0.3496772050857544,0.5050176978111267,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r00_s03,formal_u2_family_003_r00,u2_family_003,train,18,20,3,0.5013049244880676,0.6528186202049255,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r00_s04,formal_u2_family_003_r00,u2_family_003,train,21,26,6,0.5015825033187866,0.9848347902297974,0.8333333333333334,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r00_s05,formal_u2_family_003_r00,u2_family_003,train,27,28,2,0.5865988731384277,0.5206254124641418,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r01_s00,formal_u2_family_003_r01,u2_family_003,train,0,2,3,0.3489428758621216,0.6809860467910767,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r01_s01,formal_u2_family_003_r01,u2_family_003,train,3,6,4,0.4996899962425232,0.9334002733230591,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r01_s02,formal_u2_family_003_r01,u2_family_003,train,7,16,10,0.3137287199497223,0.5041688680648804,0.4,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r01_s03,formal_u2_family_003_r01,u2_family_003,train,17,19,3,0.5000491142272949,0.5096147656440735,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r01_s04,formal_u2_family_003_r01,u2_family_003,train,20,25,6,0.6486199498176575,0.9843644499778748,0.8333333333333334,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r01_s05,formal_u2_family_003_r01,u2_family_003,train,26,27,2,0.5846324563026428,0.5876434445381165,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r02_s00,formal_u2_family_003_r02,u2_family_003,train,0,2,3,0.3476007580757141,0.6809821724891663,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r02_s01,formal_u2_family_003_r02,u2_family_003,train,3,6,4,0.5002467036247253,0.9331292510032654,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r02_s02,formal_u2_family_003_r02,u2_family_003,train,7,17,11,0.3149365782737732,0.5106062293052673,0.5454545454545454,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r02_s03,formal_u2_family_003_r02,u2_family_003,train,18,20,3,0.6535788774490356,0.5013970732688904,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r02_s04,formal_u2_family_003_r02,u2_family_003,train,21,23,3,0.4923233091831207,0.984715461730957,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r02_s05,formal_u2_family_003_r02,u2_family_003,train,24,25,2,0.5799210667610168,0.5153432488441467,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r03_s00,formal_u2_family_003_r03,u2_family_003,train,0,2,3,0.3490118682384491,0.6790420413017273,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r03_s01,formal_u2_family_003_r03,u2_family_003,train,3,6,4,0.5000993609428406,0.9328673481941223,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r03_s02,formal_u2_family_003_r03,u2_family_003,train,7,17,11,0.3163824677467346,0.5031201839447021,0.36363636363636365,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r03_s03,formal_u2_family_003_r03,u2_family_003,train,18,20,3,0.4995977580547333,0.6524566411972046,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r03_s04,formal_u2_family_003_r03,u2_family_003,train,21,25,5,0.49860474467277527,0.9850279092788696,0.8,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r03_s05,formal_u2_family_003_r03,u2_family_003,train,26,27,2,0.5848143100738525,0.5581309199333191,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r04_s00,formal_u2_family_003_r04,u2_family_003,train,0,2,3,0.34924018383026123,0.6795650124549866,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r04_s01,formal_u2_family_003_r04,u2_family_003,train,3,5,3,0.4970847964286804,0.9361236691474915,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r04_s02,formal_u2_family_003_r04,u2_family_003,train,6,18,13,0.3440541625022888,0.5043336153030396,0.23076923076923078,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r04_s03,formal_u2_family_003_r04,u2_family_003,train,19,21,3,0.5001671314239502,0.6512621641159058,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r04_s04,formal_u2_family_003_r04,u2_family_003,train,22,26,5,0.4980897307395935,0.9853476881980896,0.8,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r04_s05,formal_u2_family_003_r04,u2_family_003,train,27,28,2,0.585176944732666,0.5656828880310059,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r05_s00,formal_u2_family_003_r05,u2_family_003,train,0,2,3,0.3491626977920532,0.6806777119636536,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r05_s01,formal_u2_family_003_r05,u2_family_003,train,3,6,4,0.5004395246505737,0.933082103729248,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r05_s02,formal_u2_family_003_r05,u2_family_003,train,7,15,9,0.3141309320926666,0.5007222294807434,0.4444444444444444,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r05_s03,formal_u2_family_003_r05,u2_family_003,train,16,18,3,0.49401921033859253,0.6501509547233582,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r05_s04,formal_u2_family_003_r05,u2_family_003,train,19,22,4,0.4994039535522461,0.5002607107162476,1.0,True,0,offline_teacher_to_causal_s623
formal_u2_family_003_r05_s05,formal_u2_family_003_r05,u2_family_003,train,23,25,3,0.9860813617706299,0.5460968017578125,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_004_r00_s00,formal_u2_family_004_r00,u2_family_004,train,0,2,3,0.8876670598983765,0.507927417755127,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_004_r00_s01,formal_u2_family_004_r00,u2_family_004,train,3,5,3,0.4946661591529846,0.9300242066383362,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_004_r01_s00,formal_u2_family_004_r01,u2_family_004,train,0,2,3,0.3490604758262634,0.6784290671348572,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_004_r01_s01,formal_u2_family_004_r01,u2_family_004,train,3,5,3,0.4955901801586151,0.9306122064590454,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_004_r02_s00,formal_u2_family_004_r02,u2_family_004,train,0,2,3,0.35013332962989807,0.6757829785346985,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_004_r02_s01,formal_u2_family_004_r02,u2_family_004,train,3,5,3,0.4949183166027069,0.930404007434845,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_004_r03_s00,formal_u2_family_004_r03,u2_family_004,train,0,2,3,0.34701573848724365,0.6778584122657776,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_004_r03_s01,formal_u2_family_004_r03,u2_family_004,train,3,6,4,0.5017470121383667,0.9291832447052002,0.75,True,0,offline_teacher_to_causal_s623
formal_u2_family_004_r04_s00,formal_u2_family_004_r04,u2_family_004,train,0,2,3,0.3512584865093231,0.676435649394989,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_004_r04_s01,formal_u2_family_004_r04,u2_family_004,train,3,5,3,0.4964213967323303,0.9315306544303894,0.6666666666666666,True,0,offline_teacher_to_causal_s623
formal_u2_family_004_r05_s00,formal_u2_family_004_r05,u2_family_004,train,0,2,3,0.3535674810409546,0.6782844066619873,0.3333333333333333,True,0,offline_teacher_to_causal_s623
formal_u2_family_004_r05_s01,formal_u2_family_004_r05,u2_family_004,train,3,6,4,0.5045275688171387,0.5105592608451843,1.0,True,0,offline_teacher_to_causal_s623
