candidate_id,rollout_id,root_family_id,case_id,reference_status,reference_reason,expected_action,selected_action,selected_time,correct,hold_evidence_before_event,hold_memory_at_last_closed_observation,same_m1_interface
C3_vector_rho055,L2RAR2_SELECT_00_820000:K6_long_gap_after_loss,L2RAR2_SELECT_00_820000,K6_long_gap_after_loss,reference_labeled,,recover_object,recover_object,0.9,True,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_00_820000:K7_commanded_release,L2RAR2_SELECT_00_820000,K7_commanded_release,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_00_820000:K7_commanded_release,L2RAR2_SELECT_00_820000,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_00_820000:K7_commanded_release,L2RAR2_SELECT_00_820000,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_00_820000:K8_acquisition_touch_then_continue,L2RAR2_SELECT_00_820000,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_00_820000:K8_acquisition_touch_then_continue,L2RAR2_SELECT_00_820000,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_00_820000:K8_acquisition_touch_then_continue,L2RAR2_SELECT_00_820000,K8_acquisition_touch_then_continue,reference_labeled,,none,recover_object,0.5,False,True,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_01_820001:K1_hold_request_ends_without_hold,L2RAR2_SELECT_01_820001,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,retry_grasp,0.45,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_01_820001:K1_hold_request_ends_without_hold,L2RAR2_SELECT_01_820001,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,none,,False,False,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_01_820001:K1_hold_request_ends_without_hold,L2RAR2_SELECT_01_820001,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,none,,False,False,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_01_820001:K2_touch_request_completes_without_hold,L2RAR2_SELECT_01_820001,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_01_820001:K2_touch_request_completes_without_hold,L2RAR2_SELECT_01_820001,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_01_820001:K2_touch_request_completes_without_hold,L2RAR2_SELECT_01_820001,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_01_820001:K3_normal_hold_pause_resume,L2RAR2_SELECT_01_820001,K3_normal_hold_pause_resume,reference_unresolved,pause case did not establish frozen physical hold proxy,,,,,,,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_01_820001:K3_normal_hold_pause_resume,L2RAR2_SELECT_01_820001,K3_normal_hold_pause_resume,reference_unresolved,pause case did not establish frozen physical hold proxy,,,,,,,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_01_820001:K3_normal_hold_pause_resume,L2RAR2_SELECT_01_820001,K3_normal_hold_pause_resume,reference_unresolved,pause case did not establish frozen physical hold proxy,,,,,,,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_01_820001:K4_regular_hold_loss,L2RAR2_SELECT_01_820001,K4_regular_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_01_820001:K4_regular_hold_loss,L2RAR2_SELECT_01_820001,K4_regular_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_01_820001:K4_regular_hold_loss,L2RAR2_SELECT_01_820001,K4_regular_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_01_820001:K5_brief_hold_loss,L2RAR2_SELECT_01_820001,K5_brief_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_01_820001:K5_brief_hold_loss,L2RAR2_SELECT_01_820001,K5_brief_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_01_820001:K5_brief_hold_loss,L2RAR2_SELECT_01_820001,K5_brief_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_01_820001:K6_long_gap_after_loss,L2RAR2_SELECT_01_820001,K6_long_gap_after_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_01_820001:K6_long_gap_after_loss,L2RAR2_SELECT_01_820001,K6_long_gap_after_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_01_820001:K6_long_gap_after_loss,L2RAR2_SELECT_01_820001,K6_long_gap_after_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_01_820001:K7_commanded_release,L2RAR2_SELECT_01_820001,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_01_820001:K7_commanded_release,L2RAR2_SELECT_01_820001,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_01_820001:K7_commanded_release,L2RAR2_SELECT_01_820001,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_01_820001:K8_acquisition_touch_then_continue,L2RAR2_SELECT_01_820001,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_01_820001:K8_acquisition_touch_then_continue,L2RAR2_SELECT_01_820001,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_01_820001:K8_acquisition_touch_then_continue,L2RAR2_SELECT_01_820001,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_02_820002:K1_hold_request_ends_without_hold,L2RAR2_SELECT_02_820002,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,retry_grasp,0.45,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_02_820002:K1_hold_request_ends_without_hold,L2RAR2_SELECT_02_820002,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,none,,False,False,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_02_820002:K1_hold_request_ends_without_hold,L2RAR2_SELECT_02_820002,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,none,,False,False,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_02_820002:K2_touch_request_completes_without_hold,L2RAR2_SELECT_02_820002,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_02_820002:K2_touch_request_completes_without_hold,L2RAR2_SELECT_02_820002,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_02_820002:K2_touch_request_completes_without_hold,L2RAR2_SELECT_02_820002,K2_touch_request_completes_without_hold,reference_labeled,,none,recover_object,0.7,False,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_02_820002:K3_normal_hold_pause_resume,L2RAR2_SELECT_02_820002,K3_normal_hold_pause_resume,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_02_820002:K3_normal_hold_pause_resume,L2RAR2_SELECT_02_820002,K3_normal_hold_pause_resume,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_02_820002:K3_normal_hold_pause_resume,L2RAR2_SELECT_02_820002,K3_normal_hold_pause_resume,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_02_820002:K4_regular_hold_loss,L2RAR2_SELECT_02_820002,K4_regular_hold_loss,reference_labeled,,recover_object,recover_object,1.0,True,True,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_02_820002:K4_regular_hold_loss,L2RAR2_SELECT_02_820002,K4_regular_hold_loss,reference_labeled,,recover_object,recover_object,1.0,True,True,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_02_820002:K4_regular_hold_loss,L2RAR2_SELECT_02_820002,K4_regular_hold_loss,reference_labeled,,recover_object,recover_object,1.0,True,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_02_820002:K5_brief_hold_loss,L2RAR2_SELECT_02_820002,K5_brief_hold_loss,reference_labeled,,recover_object,recover_object,0.85,True,True,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_02_820002:K5_brief_hold_loss,L2RAR2_SELECT_02_820002,K5_brief_hold_loss,reference_labeled,,recover_object,recover_object,0.85,True,True,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_02_820002:K5_brief_hold_loss,L2RAR2_SELECT_02_820002,K5_brief_hold_loss,reference_labeled,,recover_object,recover_object,0.85,True,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_02_820002:K6_long_gap_after_loss,L2RAR2_SELECT_02_820002,K6_long_gap_after_loss,reference_labeled,,recover_object,recover_object,1.0,True,True,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_02_820002:K6_long_gap_after_loss,L2RAR2_SELECT_02_820002,K6_long_gap_after_loss,reference_labeled,,recover_object,recover_object,1.0,True,True,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_02_820002:K6_long_gap_after_loss,L2RAR2_SELECT_02_820002,K6_long_gap_after_loss,reference_labeled,,recover_object,recover_object,1.0,True,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_02_820002:K7_commanded_release,L2RAR2_SELECT_02_820002,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_02_820002:K7_commanded_release,L2RAR2_SELECT_02_820002,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_02_820002:K7_commanded_release,L2RAR2_SELECT_02_820002,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_02_820002:K8_acquisition_touch_then_continue,L2RAR2_SELECT_02_820002,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_02_820002:K8_acquisition_touch_then_continue,L2RAR2_SELECT_02_820002,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_02_820002:K8_acquisition_touch_then_continue,L2RAR2_SELECT_02_820002,K8_acquisition_touch_then_continue,reference_labeled,,none,recover_object,0.7,False,True,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_03_820003:K1_hold_request_ends_without_hold,L2RAR2_SELECT_03_820003,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,retry_grasp,0.45,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_03_820003:K1_hold_request_ends_without_hold,L2RAR2_SELECT_03_820003,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,none,,False,False,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_03_820003:K1_hold_request_ends_without_hold,L2RAR2_SELECT_03_820003,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,none,,False,False,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_03_820003:K2_touch_request_completes_without_hold,L2RAR2_SELECT_03_820003,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_03_820003:K2_touch_request_completes_without_hold,L2RAR2_SELECT_03_820003,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_03_820003:K2_touch_request_completes_without_hold,L2RAR2_SELECT_03_820003,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_03_820003:K3_normal_hold_pause_resume,L2RAR2_SELECT_03_820003,K3_normal_hold_pause_resume,reference_unresolved,pause case did not establish frozen physical hold proxy,,,,,,,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_03_820003:K3_normal_hold_pause_resume,L2RAR2_SELECT_03_820003,K3_normal_hold_pause_resume,reference_unresolved,pause case did not establish frozen physical hold proxy,,,,,,,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_03_820003:K3_normal_hold_pause_resume,L2RAR2_SELECT_03_820003,K3_normal_hold_pause_resume,reference_unresolved,pause case did not establish frozen physical hold proxy,,,,,,,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_03_820003:K4_regular_hold_loss,L2RAR2_SELECT_03_820003,K4_regular_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_03_820003:K4_regular_hold_loss,L2RAR2_SELECT_03_820003,K4_regular_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_03_820003:K4_regular_hold_loss,L2RAR2_SELECT_03_820003,K4_regular_hold_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_03_820003:K5_brief_hold_loss,L2RAR2_SELECT_03_820003,K5_brief_hold_loss,reference_labeled,,recover_object,recover_object,0.8,True,True,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_03_820003:K5_brief_hold_loss,L2RAR2_SELECT_03_820003,K5_brief_hold_loss,reference_labeled,,recover_object,recover_object,0.8,True,True,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_03_820003:K5_brief_hold_loss,L2RAR2_SELECT_03_820003,K5_brief_hold_loss,reference_labeled,,recover_object,recover_object,0.8,True,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_03_820003:K6_long_gap_after_loss,L2RAR2_SELECT_03_820003,K6_long_gap_after_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_03_820003:K6_long_gap_after_loss,L2RAR2_SELECT_03_820003,K6_long_gap_after_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_03_820003:K6_long_gap_after_loss,L2RAR2_SELECT_03_820003,K6_long_gap_after_loss,reference_unresolved,held loss lacks frozen physical proxy support,,,,,,,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_03_820003:K7_commanded_release,L2RAR2_SELECT_03_820003,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_03_820003:K7_commanded_release,L2RAR2_SELECT_03_820003,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_03_820003:K7_commanded_release,L2RAR2_SELECT_03_820003,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_03_820003:K8_acquisition_touch_then_continue,L2RAR2_SELECT_03_820003,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_03_820003:K8_acquisition_touch_then_continue,L2RAR2_SELECT_03_820003,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_03_820003:K8_acquisition_touch_then_continue,L2RAR2_SELECT_03_820003,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_04_820004:K1_hold_request_ends_without_hold,L2RAR2_SELECT_04_820004,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,retry_grasp,0.45,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_04_820004:K1_hold_request_ends_without_hold,L2RAR2_SELECT_04_820004,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,none,,False,False,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_04_820004:K1_hold_request_ends_without_hold,L2RAR2_SELECT_04_820004,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,none,,False,False,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_04_820004:K2_touch_request_completes_without_hold,L2RAR2_SELECT_04_820004,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_04_820004:K2_touch_request_completes_without_hold,L2RAR2_SELECT_04_820004,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_04_820004:K2_touch_request_completes_without_hold,L2RAR2_SELECT_04_820004,K2_touch_request_completes_without_hold,reference_labeled,,none,recover_object,0.5,False,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_04_820004:K3_normal_hold_pause_resume,L2RAR2_SELECT_04_820004,K3_normal_hold_pause_resume,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_04_820004:K3_normal_hold_pause_resume,L2RAR2_SELECT_04_820004,K3_normal_hold_pause_resume,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_04_820004:K3_normal_hold_pause_resume,L2RAR2_SELECT_04_820004,K3_normal_hold_pause_resume,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_04_820004:K4_regular_hold_loss,L2RAR2_SELECT_04_820004,K4_regular_hold_loss,reference_labeled,,recover_object,recover_object,0.9,True,True,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_04_820004:K4_regular_hold_loss,L2RAR2_SELECT_04_820004,K4_regular_hold_loss,reference_labeled,,recover_object,recover_object,0.9,True,True,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_04_820004:K4_regular_hold_loss,L2RAR2_SELECT_04_820004,K4_regular_hold_loss,reference_labeled,,recover_object,recover_object,0.9,True,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_04_820004:K5_brief_hold_loss,L2RAR2_SELECT_04_820004,K5_brief_hold_loss,reference_labeled,,recover_object,none,,False,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_04_820004:K5_brief_hold_loss,L2RAR2_SELECT_04_820004,K5_brief_hold_loss,reference_labeled,,recover_object,recover_object,0.75,True,True,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_04_820004:K5_brief_hold_loss,L2RAR2_SELECT_04_820004,K5_brief_hold_loss,reference_labeled,,recover_object,recover_object,0.75,True,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_04_820004:K6_long_gap_after_loss,L2RAR2_SELECT_04_820004,K6_long_gap_after_loss,reference_labeled,,recover_object,recover_object,0.9,True,True,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_04_820004:K6_long_gap_after_loss,L2RAR2_SELECT_04_820004,K6_long_gap_after_loss,reference_labeled,,recover_object,recover_object,0.9,True,True,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_04_820004:K6_long_gap_after_loss,L2RAR2_SELECT_04_820004,K6_long_gap_after_loss,reference_labeled,,recover_object,recover_object,0.9,True,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_04_820004:K7_commanded_release,L2RAR2_SELECT_04_820004,K7_commanded_release,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_04_820004:K7_commanded_release,L2RAR2_SELECT_04_820004,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_04_820004:K7_commanded_release,L2RAR2_SELECT_04_820004,K7_commanded_release,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_04_820004:K8_acquisition_touch_then_continue,L2RAR2_SELECT_04_820004,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_04_820004:K8_acquisition_touch_then_continue,L2RAR2_SELECT_04_820004,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_04_820004:K8_acquisition_touch_then_continue,L2RAR2_SELECT_04_820004,K8_acquisition_touch_then_continue,reference_labeled,,none,recover_object,0.5,False,True,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_05_820005:K1_hold_request_ends_without_hold,L2RAR2_SELECT_05_820005,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,retry_grasp,0.45,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_05_820005:K1_hold_request_ends_without_hold,L2RAR2_SELECT_05_820005,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,none,,False,False,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_05_820005:K1_hold_request_ends_without_hold,L2RAR2_SELECT_05_820005,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,none,,False,False,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,reference_labeled,,none,recover_object,0.6,False,True,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_05_820005:K3_normal_hold_pause_resume,L2RAR2_SELECT_05_820005,K3_normal_hold_pause_resume,reference_unresolved,pause case did not establish frozen physical hold proxy,,,,,,,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_05_820005:K3_normal_hold_pause_resume,L2RAR2_SELECT_05_820005,K3_normal_hold_pause_resume,reference_unresolved,pause case did not establish frozen physical hold proxy,,,,,,,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_05_820005:K3_normal_hold_pause_resume,L2RAR2_SELECT_05_820005,K3_normal_hold_pause_resume,reference_unresolved,pause case did not establish frozen physical hold proxy,,,,,,,M1_requested_effect_gate
