task_id,task_instance_id,episode_id,group_id,split,outcome,recovery,alternative_order
square,,square__episode_51,square__episode_51,train,success,False,False
square,,square__episode_33,square__episode_33,train,success,False,False
square,,square__episode_36,square__episode_36,train,success,False,False
square,,square__episode_20,square__episode_20,train,failure,False,False
square,,square__episode_64,square__episode_64,train,success,False,False
square,,square__episode_91,square__episode_91,train,success,False,False
square,,square__episode_28,square__episode_28,train,success,False,False
square,,square__episode_79,square__episode_79,train,failure,False,False
square,,square__episode_98,square__episode_98,train,success,False,False
square,,square__episode_43,square__episode_43,train,success,False,False
square,,square__episode_78,square__episode_78,train,success,False,False
square,,square__episode_55,square__episode_55,train,success,False,False
square,,square__episode_95,square__episode_95,train,success,False,False
square,,square__episode_21,square__episode_21,train,success,False,False
square,,square__episode_47,square__episode_47,train,failure,False,False
square,,square__episode_99,square__episode_99,train,success,False,False
square,,square__episode_11,square__episode_11,train,failure,False,False
square,,square__episode_34,square__episode_34,train,success,False,False
square,,square__episode_2,square__episode_2,train,success,False,False
square,,square__episode_23,square__episode_23,train,success,False,False
square,,square__episode_14,square__episode_14,train,success,False,False
square,,square__episode_52,square__episode_52,train,success,False,False
square,,square__episode_9,square__episode_9,train,success,False,False
square,,square__episode_4,square__episode_4,train,failure,False,False
square,,square__episode_26,square__episode_26,train,failure,False,False
square,,square__episode_97,square__episode_97,train,success,False,False
square,,square__episode_39,square__episode_39,val,success,False,False
square,,square__episode_57,square__episode_57,val,success,False,False
square,,square__episode_35,square__episode_35,val,failure,False,False
square,,square__episode_67,square__episode_67,val,success,False,False
square,,square__episode_45,square__episode_45,val,success,False,False
square,,square__episode_50,square__episode_50,val,success,False,False
square,,square__episode_93,square__episode_93,val,success,False,False
square,,square__episode_82,square__episode_82,val,success,False,False
square,,square__episode_56,square__episode_56,val,success,False,False
square,,square__episode_74,square__episode_74,val,success,False,False
square,,square__episode_88,square__episode_88,test,success,False,False
square,,square__episode_73,square__episode_73,test,success,False,False
square,,square__episode_6,square__episode_6,test,failure,False,False
square,,square__episode_18,square__episode_18,test,success,False,False
square,,square__episode_87,square__episode_87,test,success,False,False
square,,square__episode_61,square__episode_61,test,failure,False,False
square,,square__episode_42,square__episode_42,test,success,False,False
square,,square__episode_68,square__episode_68,test,success,False,False
square,,square__episode_30,square__episode_30,test,failure,False,False
square,,square__episode_31,square__episode_31,test,failure,False,False
transport,,transport__episode_32,transport__episode_32,train,success,False,False
transport,,transport__episode_14,transport__episode_14,train,failure,False,False
transport,,transport__episode_35,transport__episode_35,train,success,False,False
transport,,transport__episode_53,transport__episode_53,train,failure,False,False
transport,,transport__episode_29,transport__episode_29,train,failure,False,False
transport,,transport__episode_37,transport__episode_37,train,success,False,False
transport,,transport__episode_10,transport__episode_10,train,failure,False,False
transport,,transport__episode_43,transport__episode_43,train,success,False,False
transport,,transport__episode_77,transport__episode_77,train,success,False,False
transport,,transport__episode_7,transport__episode_7,train,failure,False,False
transport,,transport__episode_4,transport__episode_4,train,success,False,False
transport,,transport__episode_60,transport__episode_60,train,success,False,False
transport,,transport__episode_19,transport__episode_19,train,failure,False,False
transport,,transport__episode_40,transport__episode_40,train,failure,False,False
transport,,transport__episode_55,transport__episode_55,train,failure,False,False
transport,,transport__episode_20,transport__episode_20,train,failure,False,False
transport,,transport__episode_33,transport__episode_33,train,success,False,False
transport,,transport__episode_80,transport__episode_80,train,failure,False,False
transport,,transport__episode_28,transport__episode_28,train,success,False,False
transport,,transport__episode_98,transport__episode_98,train,success,False,False
transport,,transport__episode_12,transport__episode_12,train,failure,False,False
transport,,transport__episode_2,transport__episode_2,train,success,False,False
transport,,transport__episode_45,transport__episode_45,train,success,False,False
transport,,transport__episode_38,transport__episode_38,train,failure,False,False
transport,,transport__episode_61,transport__episode_61,train,failure,False,False
transport,,transport__episode_67,transport__episode_67,train,success,False,False
transport,,transport__episode_9,transport__episode_9,train,failure,False,False
transport,,transport__episode_27,transport__episode_27,train,success,False,False
transport,,transport__episode_23,transport__episode_23,train,success,False,False
transport,,transport__episode_8,transport__episode_8,train,failure,False,False
transport,,transport__episode_5,transport__episode_5,train,success,False,False
transport,,transport__episode_82,transport__episode_82,train,success,False,False
transport,,transport__episode_88,transport__episode_88,train,failure,False,False
transport,,transport__episode_11,transport__episode_11,train,success,False,False
transport,,transport__episode_73,transport__episode_73,train,failure,False,False
transport,,transport__episode_24,transport__episode_24,train,failure,False,False
transport,,transport__episode_92,transport__episode_92,train,failure,False,False
transport,,transport__episode_49,transport__episode_49,train,success,False,False
transport,,transport__episode_70,transport__episode_70,train,failure,False,False
transport,,transport__episode_93,transport__episode_93,train,failure,False,False
transport,,transport__episode_1,transport__episode_1,train,success,False,False
transport,,transport__episode_58,transport__episode_58,train,failure,False,False
transport,,transport__episode_76,transport__episode_76,train,failure,False,False
transport,,transport__episode_0,transport__episode_0,train,failure,False,False
transport,,transport__episode_91,transport__episode_91,train,failure,False,False
transport,,transport__episode_86,transport__episode_86,train,success,False,False
transport,,transport__episode_51,transport__episode_51,train,success,False,False
transport,,transport__episode_36,transport__episode_36,train,success,False,False
transport,,transport__episode_72,transport__episode_72,train,failure,False,False
transport,,transport__episode_56,transport__episode_56,train,success,False,False
transport,,transport__episode_81,transport__episode_81,train,failure,False,False
transport,,transport__episode_52,transport__episode_52,train,failure,False,False
transport,,transport__episode_3,transport__episode_3,train,failure,False,False
transport,,transport__episode_66,transport__episode_66,train,success,False,False
transport,,transport__episode_25,transport__episode_25,train,failure,False,False
transport,,transport__episode_84,transport__episode_84,train,failure,False,False
transport,,transport__episode_31,transport__episode_31,train,failure,False,False
transport,,transport__episode_54,transport__episode_54,train,success,False,False
transport,,transport__episode_94,transport__episode_94,train,failure,False,False
transport,,transport__episode_96,transport__episode_96,train,failure,False,False
transport,,transport__episode_47,transport__episode_47,train,failure,False,False
transport,,transport__episode_83,transport__episode_83,train,success,False,False
transport,,transport__episode_85,transport__episode_85,train,failure,False,False
transport,,transport__episode_6,transport__episode_6,train,failure,False,False
transport,,transport__episode_41,transport__episode_41,train,failure,False,False
transport,,transport__episode_89,transport__episode_89,train,failure,False,False
transport,,transport__episode_42,transport__episode_42,train,success,False,False
transport,,transport__episode_59,transport__episode_59,train,failure,False,False
transport,,transport__episode_95,transport__episode_95,train,success,False,False
transport,,transport__episode_90,transport__episode_90,train,success,False,False
transport,,transport__episode_17,transport__episode_17,train,failure,False,False
transport,,transport__episode_26,transport__episode_26,train,failure,False,False
transport,,transport__episode_46,transport__episode_46,train,failure,False,False
transport,,transport__episode_87,transport__episode_87,train,success,False,False
transport,,transport__episode_50,transport__episode_50,train,success,False,False
transport,,transport__episode_99,transport__episode_99,train,failure,False,False
transport,,transport__episode_30,transport__episode_30,train,failure,False,False
transport,,transport__episode_78,transport__episode_78,train,failure,False,False
transport,,transport__episode_16,transport__episode_16,train,success,False,False
transport,,transport__episode_44,transport__episode_44,train,success,False,False
transport,,transport__episode_69,transport__episode_69,val,failure,False,False
transport,,transport__episode_75,transport__episode_75,val,success,False,False
transport,,transport__episode_65,transport__episode_65,val,failure,False,False
transport,,transport__episode_21,transport__episode_21,val,failure,False,False
transport,,transport__episode_97,transport__episode_97,val,success,False,False
transport,,transport__episode_62,transport__episode_62,val,failure,False,False
transport,,transport__episode_18,transport__episode_18,val,success,False,False
transport,,transport__episode_74,transport__episode_74,val,success,False,False
transport,,transport__episode_48,transport__episode_48,val,success,False,False
transport,,transport__episode_68,transport__episode_68,val,success,False,False
transport,,transport__episode_79,transport__episode_79,test,success,False,False
transport,,transport__episode_13,transport__episode_13,test,failure,False,False
transport,,transport__episode_39,transport__episode_39,test,success,False,False
transport,,transport__episode_63,transport__episode_63,test,failure,False,False
transport,,transport__episode_57,transport__episode_57,test,success,False,False
transport,,transport__episode_64,transport__episode_64,test,failure,False,False
transport,,transport__episode_71,transport__episode_71,test,failure,False,False
transport,,transport__episode_34,transport__episode_34,test,success,False,False
transport,,transport__episode_22,transport__episode_22,test,failure,False,False
transport,,transport__episode_15,transport__episode_15,test,failure,False,False
