case_id,root_family_id,split,view_id,source_kind,path,size_bytes,width,height,sha256
F08_A,F08,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F08/F08_A_view_2.jpg,22557,640,480,67f9116ca1f80b67c6ea1d81015798a15b3a4880c9b759e9cccf72fc6f2ee7c7
F08_B,F08,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F08/F08_B_view_1.jpg,18089,640,480,742638a5fc6fa606de4b787d989648bf667bf68beb0bf76ba3caada27c77dc77
F08_B,F08,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F08/F08_B_view_2.jpg,23089,640,480,e210eedb50cdf90e998280c5c44c8356b69c56a0d518af9d6b0398c7c0d06da0
F09_A,F09,dev,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F09/F09_A_view_1.jpg,17320,640,480,15d4274e303a4e9046f912b719d50e9452e717b263aea72e91851500f92ba413
F09_A,F09,dev,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F09/F09_A_view_2.jpg,22653,640,480,b21044e5174a92fbde5a18cb873d53c8415aaa07dfaa68b79f2c17adc5b02a91
F09_B,F09,dev,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F09/F09_B_view_1.jpg,19009,640,480,9139f0445eb7d35c86c45c6b1739b5f5f912dc4cc28a9b77f6904e94a930a9c5
F09_B,F09,dev,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F09/F09_B_view_2.jpg,23071,640,480,6d7644f334c92ab2c06be618ead9f0f52f9021cb47121062eb371106d30a8ed3
F10_A,F10,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F10/F10_A_view_1.jpg,17505,640,480,f5c66e7a2cd8467fb430b44c6ee2b768b72506a775b668b6633a57625c3ec6fb
F10_A,F10,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F10/F10_A_view_2.jpg,22882,640,480,c4f8a932220b4c15969379b4450195a3a1720b5df225baf1514dbcc3de83c639
F10_B,F10,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F10/F10_B_view_1.jpg,15692,640,480,45e160ade69cb0ff6263f3efccfcefd949c870f447069e3490b45a03afdf58a1
F10_B,F10,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F10/F10_B_view_2.jpg,21493,640,480,bbdfbf3166edd4f7740cca211bfdd862f8e503bc2e2855e2ac1d2a44b8e888ad
F11_A,F11,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F11/F11_A_view_1.jpg,17516,640,480,667e01cf8b7e55f9f3731b5d761e829caccef09dc9695005e5b416ef17c22702
F11_A,F11,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F11/F11_A_view_2.jpg,22448,640,480,88c13a878a6dc531f875af146c524e4422d87e844d719dd9fdac8dc54f65e633
F11_B,F11,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F11/F11_B_view_1.jpg,18119,640,480,f2d756df73e977e22a2c65255a61d5760d1ad82d64520a61c354143a2bf7b0d4
F11_B,F11,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F11/F11_B_view_2.jpg,23586,640,480,7b8ed42fa382927092fdac1d159ba8002f9813f31761f3ebda466e6300e0ebb5
F12_A,F12,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F12/F12_A_view_1.jpg,17696,640,480,0381ad145d37421e58e5a87436b22177b3d56c677bfa88040fa28edb1be2d9f5
F12_A,F12,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F12/F12_A_view_2.jpg,22475,640,480,a0a1cd4d03ec7c7360b7fa009aa1d18d1ea3fc456d4dc42d30b2f5b4b1ffbc26
F12_B,F12,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F12/F12_B_view_1.jpg,18641,640,480,05006ee2bbcb0d55b337dd823eb38564d099fe0a3d8962ffaa13d0b5f6e1f415
F12_B,F12,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F12/F12_B_view_2.jpg,23062,640,480,93e8ddc3436c7cda052ae8e5d69c25149f999dd268f2d1a7216768857b47c7a1
