method_id,candidate_id,rollout_id,round10_selected_action,v2_selected_action,round10_selected_time,v2_selected_time,round10_selected_reason,v2_selected_reason,round10_correct,v2_correct,matched,mismatch_fields
O_C3,C3_vector_rho035,L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_B2,B_count2,L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_B2,B_count2,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,none,none,,,no_emergency_condition,no_emergency_condition,False,False,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,none,none,,,no_emergency_condition,no_emergency_condition,False,False,True,
O_B2,B_count2,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,none,none,,,no_emergency_condition,no_emergency_condition,False,False,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,none,none,,,no_emergency_condition,no_emergency_condition,False,False,True,
O_B2,B_count2,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,none,none,,,no_emergency_condition,no_emergency_condition,False,False,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,none,none,,,no_emergency_condition,no_emergency_condition,False,False,True,
O_B2,B_count2,L2RAR2_REPAIR_02_840002:K7_commanded_release,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_02_840002:K7_commanded_release,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_B2,B_count2,L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_B2,B_count2,L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,hold_request_normally_ended_without_hold,hold_request_normally_ended_without_hold,True,True,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,hold_request_normally_ended_without_hold,hold_request_normally_ended_without_hold,True,True,True,
O_B2,B_count2,L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_B2,B_count2,L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_B2,B_count2,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,none,none,,,no_emergency_condition,no_emergency_condition,False,False,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,none,none,,,no_emergency_condition,no_emergency_condition,False,False,True,
O_B2,B_count2,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,none,none,,,no_emergency_condition,no_emergency_condition,False,False,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,none,none,,,no_emergency_condition,no_emergency_condition,False,False,True,
O_B2,B_count2,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,none,none,,,no_emergency_condition,no_emergency_condition,False,False,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,none,none,,,no_emergency_condition,no_emergency_condition,False,False,True,
O_B2,B_count2,L2RAR2_REPAIR_03_840003:K7_commanded_release,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_03_840003:K7_commanded_release,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_B2,B_count2,L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
O_C3,C3_vector_rho035,L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,none,none,,,no_emergency_condition,no_emergency_condition,True,True,True,
