rollout_id,split,legacy_selected_action,legacy_any_overlap,prefix_first_decision,difference_source
L2RA_D_04_00_430000_r03,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_01_430000_r00,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_01_430000_r01,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_01_430000_r02,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_01_430000_r03,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_00_430000_r00,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_00_430000_r01,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_00_430000_r02,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_00_430000_r03,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_01_430000_r00,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_01_430000_r01,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_01_430000_r02,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_01_430000_r03,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_02_430000_r00,dev_select,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_02_430000_r01,dev_select,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_02_430000_r02,dev_select,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_02_430000_r03,dev_select,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_03_430000_r00,dev_select,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_03_430000_r01,dev_select,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_03_430000_r02,dev_select,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_03_430000_r03,dev_select,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_02_430000_r00,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_02_430000_r01,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_02_430000_r02,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_02_430000_r03,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_03_430000_r00,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_03_430000_r01,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_03_430000_r02,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_03_430000_r03,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_02_430000_r00,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_02_430000_r01,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_02_430000_r02,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_02_430000_r03,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_03_430000_r00,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_03_430000_r01,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_03_430000_r02,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_03_430000_r03,dev_select,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_02_430000_r00,dev_select,request_clarification,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_02_430000_r01,dev_select,request_clarification,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_02_430000_r02,dev_select,request_clarification,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_02_430000_r03,dev_select,request_clarification,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_03_430000_r00,dev_select,manipulate,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_03_430000_r01,dev_select,manipulate,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_03_430000_r02,dev_select,manipulate,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_03_430000_r03,dev_select,manipulate,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_02_430000_r00,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_02_430000_r01,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_02_430000_r02,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_02_430000_r03,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_03_430000_r00,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_03_430000_r01,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_03_430000_r02,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_03_430000_r03,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_02_430000_r00,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_02_430000_r01,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_02_430000_r02,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_02_430000_r03,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_03_430000_r00,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_03_430000_r01,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_03_430000_r02,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_05_03_430000_r03,dev_select,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
