rollout_id,root_family_id,split,scenario,rollout_seed,path,active_object,frames,front_frames,side_frames,termination_type,final_goal_stable,missed_grasp,contact_loss,recovery_attempt,recovery_achieved,target_blocked,ambiguous_or_occluded
L2C_00_02_220799_r02,L2C_00_02_220799,fresh_confirmation,normal_pick_place,2290202,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_02_220799/rollout_02,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_00_02_220799_r03,L2C_00_02_220799,fresh_confirmation,normal_pick_place,2290203,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_02_220799/rollout_03,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_01_00_220799_r00,L2C_01_00_220799,fresh_confirmation,already_satisfied_stable,2290300,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_01_00_220799/rollout_00,True,7,7,7,goal_terminal,True,False,False,False,False,False,False
L2C_01_00_220799_r01,L2C_01_00_220799,fresh_confirmation,already_satisfied_stable,2290301,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_01_00_220799/rollout_01,True,7,7,7,goal_terminal,True,False,False,False,False,False,False
L2C_01_00_220799_r02,L2C_01_00_220799,fresh_confirmation,already_satisfied_stable,2290302,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_01_00_220799/rollout_02,True,7,7,7,goal_terminal,True,False,False,False,False,False,False
L2C_01_00_220799_r03,L2C_01_00_220799,fresh_confirmation,already_satisfied_stable,2290303,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_01_00_220799/rollout_03,True,7,7,7,goal_terminal,True,False,False,False,False,False,False
L2C_01_01_220799_r00,L2C_01_01_220799,fresh_confirmation,already_satisfied_stable,2290400,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_01_01_220799/rollout_00,True,7,7,7,goal_terminal,True,False,False,False,False,False,False
L2C_01_01_220799_r01,L2C_01_01_220799,fresh_confirmation,already_satisfied_stable,2290401,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_01_01_220799/rollout_01,True,7,7,7,goal_terminal,True,False,False,False,False,False,False
L2C_01_01_220799_r02,L2C_01_01_220799,fresh_confirmation,already_satisfied_stable,2290402,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_01_01_220799/rollout_02,True,7,7,7,goal_terminal,True,False,False,False,False,False,False
L2C_01_01_220799_r03,L2C_01_01_220799,fresh_confirmation,already_satisfied_stable,2290403,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_01_01_220799/rollout_03,True,7,7,7,goal_terminal,True,False,False,False,False,False,False
L2C_01_02_220799_r00,L2C_01_02_220799,fresh_confirmation,already_satisfied_stable,2290500,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_01_02_220799/rollout_00,True,7,7,7,goal_terminal,True,False,False,False,False,False,False
L2C_01_02_220799_r01,L2C_01_02_220799,fresh_confirmation,already_satisfied_stable,2290501,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_01_02_220799/rollout_01,True,7,7,7,goal_terminal,True,False,False,False,False,False,False
L2C_01_02_220799_r02,L2C_01_02_220799,fresh_confirmation,already_satisfied_stable,2290502,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_01_02_220799/rollout_02,True,7,7,7,goal_terminal,True,False,False,False,False,False,False
L2C_01_02_220799_r03,L2C_01_02_220799,fresh_confirmation,already_satisfied_stable,2290503,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_01_02_220799/rollout_03,True,7,7,7,goal_terminal,True,False,False,False,False,False,False
L2C_02_00_220799_r00,L2C_02_00_220799,fresh_confirmation,already_on_target_offcenter,2290600,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_02_00_220799/rollout_00,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_02_00_220799_r01,L2C_02_00_220799,fresh_confirmation,already_on_target_offcenter,2290601,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_02_00_220799/rollout_01,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_02_00_220799_r02,L2C_02_00_220799,fresh_confirmation,already_on_target_offcenter,2290602,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_02_00_220799/rollout_02,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_02_00_220799_r03,L2C_02_00_220799,fresh_confirmation,already_on_target_offcenter,2290603,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_02_00_220799/rollout_03,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_02_01_220799_r00,L2C_02_01_220799,fresh_confirmation,already_on_target_offcenter,2290700,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_02_01_220799/rollout_00,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_02_01_220799_r01,L2C_02_01_220799,fresh_confirmation,already_on_target_offcenter,2290701,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_02_01_220799/rollout_01,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_02_01_220799_r02,L2C_02_01_220799,fresh_confirmation,already_on_target_offcenter,2290702,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_02_01_220799/rollout_02,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_02_01_220799_r03,L2C_02_01_220799,fresh_confirmation,already_on_target_offcenter,2290703,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_02_01_220799/rollout_03,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_02_02_220799_r00,L2C_02_02_220799,fresh_confirmation,already_on_target_offcenter,2290800,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_02_02_220799/rollout_00,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_02_02_220799_r01,L2C_02_02_220799,fresh_confirmation,already_on_target_offcenter,2290801,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_02_02_220799/rollout_01,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_02_02_220799_r02,L2C_02_02_220799,fresh_confirmation,already_on_target_offcenter,2290802,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_02_02_220799/rollout_02,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_02_02_220799_r03,L2C_02_02_220799,fresh_confirmation,already_on_target_offcenter,2290803,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_02_02_220799/rollout_03,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_03_00_220799_r00,L2C_03_00_220799,fresh_confirmation,missed_grasp_then_retry,2290900,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_03_00_220799/rollout_00,True,14,14,14,goal_terminal,True,True,False,True,True,False,False
L2C_03_00_220799_r01,L2C_03_00_220799,fresh_confirmation,missed_grasp_then_retry,2290901,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_03_00_220799/rollout_01,True,14,14,14,goal_terminal,True,True,False,True,True,False,False
L2C_03_00_220799_r02,L2C_03_00_220799,fresh_confirmation,missed_grasp_then_retry,2290902,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_03_00_220799/rollout_02,True,14,14,14,goal_terminal,True,True,False,True,True,False,False
L2C_03_00_220799_r03,L2C_03_00_220799,fresh_confirmation,missed_grasp_then_retry,2290903,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_03_00_220799/rollout_03,True,14,14,14,goal_terminal,True,True,False,True,True,False,False
L2C_03_01_220799_r00,L2C_03_01_220799,fresh_confirmation,missed_grasp_then_retry,2291000,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_03_01_220799/rollout_00,True,14,14,14,goal_terminal,True,True,False,True,True,False,False
L2C_03_01_220799_r01,L2C_03_01_220799,fresh_confirmation,missed_grasp_then_retry,2291001,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_03_01_220799/rollout_01,True,14,14,14,goal_terminal,True,True,False,True,True,False,False
L2C_03_01_220799_r02,L2C_03_01_220799,fresh_confirmation,missed_grasp_then_retry,2291002,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_03_01_220799/rollout_02,True,14,14,14,goal_terminal,True,True,False,True,True,False,False
L2C_03_01_220799_r03,L2C_03_01_220799,fresh_confirmation,missed_grasp_then_retry,2291003,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_03_01_220799/rollout_03,True,14,14,14,goal_terminal,True,True,False,True,True,False,False
L2C_03_02_220799_r00,L2C_03_02_220799,fresh_confirmation,missed_grasp_then_retry,2291100,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_03_02_220799/rollout_00,True,14,14,14,goal_terminal,True,True,False,True,True,False,False
L2C_03_02_220799_r01,L2C_03_02_220799,fresh_confirmation,missed_grasp_then_retry,2291101,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_03_02_220799/rollout_01,True,14,14,14,goal_terminal,True,True,False,True,True,False,False
L2C_03_02_220799_r02,L2C_03_02_220799,fresh_confirmation,missed_grasp_then_retry,2291102,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_03_02_220799/rollout_02,True,14,14,14,goal_terminal,True,True,False,True,True,False,False
L2C_03_02_220799_r03,L2C_03_02_220799,fresh_confirmation,missed_grasp_then_retry,2291103,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_03_02_220799/rollout_03,True,14,14,14,goal_terminal,True,True,False,True,True,False,False
L2C_04_00_220799_r00,L2C_04_00_220799,fresh_confirmation,slip_then_recover,2291200,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_04_00_220799/rollout_00,True,16,16,16,goal_terminal,True,False,True,True,True,False,False
L2C_04_00_220799_r01,L2C_04_00_220799,fresh_confirmation,slip_then_recover,2291201,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_04_00_220799/rollout_01,True,16,16,16,goal_terminal,True,False,True,True,True,False,False
L2C_04_00_220799_r02,L2C_04_00_220799,fresh_confirmation,slip_then_recover,2291202,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_04_00_220799/rollout_02,True,16,16,16,goal_terminal,True,False,True,True,True,False,False
L2C_04_00_220799_r03,L2C_04_00_220799,fresh_confirmation,slip_then_recover,2291203,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_04_00_220799/rollout_03,True,16,16,16,goal_terminal,True,False,True,True,True,False,False
L2C_04_01_220799_r00,L2C_04_01_220799,fresh_confirmation,slip_then_recover,2291300,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_04_01_220799/rollout_00,True,16,16,16,goal_terminal,True,False,True,True,True,False,False
L2C_04_01_220799_r01,L2C_04_01_220799,fresh_confirmation,slip_then_recover,2291301,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_04_01_220799/rollout_01,True,16,16,16,goal_terminal,True,False,True,True,True,False,False
L2C_04_01_220799_r02,L2C_04_01_220799,fresh_confirmation,slip_then_recover,2291302,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_04_01_220799/rollout_02,True,16,16,16,goal_terminal,True,False,True,True,True,False,False
L2C_04_01_220799_r03,L2C_04_01_220799,fresh_confirmation,slip_then_recover,2291303,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_04_01_220799/rollout_03,True,16,16,16,goal_terminal,True,False,True,True,True,False,False
L2C_04_02_220799_r00,L2C_04_02_220799,fresh_confirmation,slip_then_recover,2291400,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_04_02_220799/rollout_00,True,16,16,16,goal_terminal,True,False,True,True,True,False,False
L2C_04_02_220799_r01,L2C_04_02_220799,fresh_confirmation,slip_then_recover,2291401,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_04_02_220799/rollout_01,True,16,16,16,goal_terminal,True,False,True,True,True,False,False
L2C_04_02_220799_r02,L2C_04_02_220799,fresh_confirmation,slip_then_recover,2291402,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_04_02_220799/rollout_02,True,16,16,16,goal_terminal,True,False,True,True,True,False,False
L2C_04_02_220799_r03,L2C_04_02_220799,fresh_confirmation,slip_then_recover,2291403,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_04_02_220799/rollout_03,True,16,16,16,goal_terminal,True,False,True,True,True,False,False
L2C_05_00_220799_r00,L2C_05_00_220799,fresh_confirmation,target_occupied,2291500,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_05_00_220799/rollout_00,True,14,14,14,goal_terminal,True,False,False,False,False,True,False
L2C_05_00_220799_r01,L2C_05_00_220799,fresh_confirmation,target_occupied,2291501,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_05_00_220799/rollout_01,True,14,14,14,goal_terminal,True,False,False,False,False,True,False
L2C_05_00_220799_r02,L2C_05_00_220799,fresh_confirmation,target_occupied,2291502,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_05_00_220799/rollout_02,True,14,14,14,goal_terminal,True,False,False,False,False,True,False
L2C_05_00_220799_r03,L2C_05_00_220799,fresh_confirmation,target_occupied,2291503,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_05_00_220799/rollout_03,True,14,14,14,goal_terminal,True,False,False,False,False,True,False
L2C_05_01_220799_r00,L2C_05_01_220799,fresh_confirmation,target_occupied,2291600,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_05_01_220799/rollout_00,True,14,14,14,goal_terminal,True,False,False,False,False,True,False
L2C_05_01_220799_r01,L2C_05_01_220799,fresh_confirmation,target_occupied,2291601,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_05_01_220799/rollout_01,True,14,14,14,goal_terminal,True,False,False,False,False,True,False
L2C_05_01_220799_r02,L2C_05_01_220799,fresh_confirmation,target_occupied,2291602,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_05_01_220799/rollout_02,True,14,14,14,goal_terminal,True,False,False,False,False,True,False
L2C_05_01_220799_r03,L2C_05_01_220799,fresh_confirmation,target_occupied,2291603,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_05_01_220799/rollout_03,True,14,14,14,goal_terminal,True,False,False,False,False,True,False
L2C_05_02_220799_r00,L2C_05_02_220799,fresh_confirmation,target_occupied,2291700,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_05_02_220799/rollout_00,True,14,14,14,goal_terminal,True,False,False,False,False,True,False
L2C_05_02_220799_r01,L2C_05_02_220799,fresh_confirmation,target_occupied,2291701,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_05_02_220799/rollout_01,True,14,14,14,goal_terminal,True,False,False,False,False,True,False
L2C_05_02_220799_r02,L2C_05_02_220799,fresh_confirmation,target_occupied,2291702,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_05_02_220799/rollout_02,True,14,14,14,goal_terminal,True,False,False,False,False,True,False
L2C_05_02_220799_r03,L2C_05_02_220799,fresh_confirmation,target_occupied,2291703,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_05_02_220799/rollout_03,True,14,14,14,goal_terminal,True,False,False,False,False,True,False
L2C_06_00_220799_r00,L2C_06_00_220799,fresh_confirmation,distractor_object_ambiguity,2291800,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_06_00_220799/rollout_00,True,13,13,13,goal_terminal,True,False,False,False,False,False,True
L2C_06_00_220799_r01,L2C_06_00_220799,fresh_confirmation,distractor_object_ambiguity,2291801,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_06_00_220799/rollout_01,True,13,13,13,goal_terminal,True,False,False,False,False,False,True
L2C_06_00_220799_r02,L2C_06_00_220799,fresh_confirmation,distractor_object_ambiguity,2291802,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_06_00_220799/rollout_02,True,13,13,13,goal_terminal,True,False,False,False,False,False,True
L2C_06_00_220799_r03,L2C_06_00_220799,fresh_confirmation,distractor_object_ambiguity,2291803,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_06_00_220799/rollout_03,True,3,3,3,horizon,False,False,False,False,False,False,True
L2C_06_01_220799_r00,L2C_06_01_220799,fresh_confirmation,distractor_object_ambiguity,2291900,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_06_01_220799/rollout_00,True,13,13,13,goal_terminal,True,False,False,False,False,False,True
L2C_06_01_220799_r01,L2C_06_01_220799,fresh_confirmation,distractor_object_ambiguity,2291901,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_06_01_220799/rollout_01,True,13,13,13,goal_terminal,True,False,False,False,False,False,True
L2C_06_01_220799_r02,L2C_06_01_220799,fresh_confirmation,distractor_object_ambiguity,2291902,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_06_01_220799/rollout_02,True,13,13,13,goal_terminal,True,False,False,False,False,False,True
L2C_06_01_220799_r03,L2C_06_01_220799,fresh_confirmation,distractor_object_ambiguity,2291903,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_06_01_220799/rollout_03,True,3,3,3,horizon,False,False,False,False,False,False,True
L2C_06_02_220799_r00,L2C_06_02_220799,fresh_confirmation,distractor_object_ambiguity,2292000,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_06_02_220799/rollout_00,True,13,13,13,goal_terminal,True,False,False,False,False,False,True
L2C_06_02_220799_r01,L2C_06_02_220799,fresh_confirmation,distractor_object_ambiguity,2292001,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_06_02_220799/rollout_01,True,13,13,13,goal_terminal,True,False,False,False,False,False,True
L2C_06_02_220799_r02,L2C_06_02_220799,fresh_confirmation,distractor_object_ambiguity,2292002,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_06_02_220799/rollout_02,True,13,13,13,goal_terminal,True,False,False,False,False,False,True
