events,frames,observation_intervention,path,rollout_id,rollout_seed,root_family_id,schema,simulator_scenario_reference_only,source_kind,split,stratum
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_02_430000/rollout_02,L2RA_D_00_02_430000_r02,43100202,L2RA_D_00_02_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_select,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_02_430000/rollout_03,L2RA_D_00_02_430000_r03,43100203,L2RA_D_00_02_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_select,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_03_430000/rollout_00,L2RA_D_00_03_430000_r00,43100300,L2RA_D_00_03_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_select,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_03_430000/rollout_01,L2RA_D_00_03_430000_r01,43100301,L2RA_D_00_03_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_select,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_03_430000/rollout_02,L2RA_D_00_03_430000_r02,43100302,L2RA_D_00_03_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_select,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_03_430000/rollout_03,L2RA_D_00_03_430000_r03,43100303,L2RA_D_00_03_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_select,miss_without_prior_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_00_430000/rollout_00,L2RA_D_01_00_430000_r00,43110000,L2RA_D_01_00_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_fit,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_00_430000/rollout_01,L2RA_D_01_00_430000_r01,43110001,L2RA_D_01_00_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_fit,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_00_430000/rollout_02,L2RA_D_01_00_430000_r02,43110002,L2RA_D_01_00_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_fit,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_00_430000/rollout_03,L2RA_D_01_00_430000_r03,43110003,L2RA_D_01_00_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_fit,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_01_430000/rollout_00,L2RA_D_01_01_430000_r00,43110100,L2RA_D_01_01_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_fit,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_01_430000/rollout_01,L2RA_D_01_01_430000_r01,43110101,L2RA_D_01_01_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_fit,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_01_430000/rollout_02,L2RA_D_01_01_430000_r02,43110102,L2RA_D_01_01_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_fit,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_01_430000/rollout_03,L2RA_D_01_01_430000_r03,43110103,L2RA_D_01_01_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_fit,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_02_430000/rollout_00,L2RA_D_01_02_430000_r00,43110200,L2RA_D_01_02_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_select,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_02_430000/rollout_01,L2RA_D_01_02_430000_r01,43110201,L2RA_D_01_02_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_select,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_02_430000/rollout_02,L2RA_D_01_02_430000_r02,43110202,L2RA_D_01_02_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_select,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_02_430000/rollout_03,L2RA_D_01_02_430000_r03,43110203,L2RA_D_01_02_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_select,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_03_430000/rollout_00,L2RA_D_01_03_430000_r00,43110300,L2RA_D_01_03_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_select,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_03_430000/rollout_01,L2RA_D_01_03_430000_r01,43110301,L2RA_D_01_03_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_select,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_03_430000/rollout_02,L2RA_D_01_03_430000_r02,43110302,L2RA_D_01_03_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_select,loss_after_observed_hold
"['contact_established', 'contact_lost', 'contact_established', 'recovery_achieved', 'contact_reestablished']",8,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_01_03_430000/rollout_03,L2RA_D_01_03_430000_r03,43110303,L2RA_D_01_03_430000,pathgraph_l2ra_probe_rollout_v1,slip_then_recover,new_dynamic_mujoco_probe,dev_select,loss_after_observed_hold
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_00_430000/rollout_00,L2RA_D_02_00_430000_r00,43120000,L2RA_D_02_00_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_00_430000/rollout_01,L2RA_D_02_00_430000_r01,43120001,L2RA_D_02_00_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_00_430000/rollout_02,L2RA_D_02_00_430000_r02,43120002,L2RA_D_02_00_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_00_430000/rollout_03,L2RA_D_02_00_430000_r03,43120003,L2RA_D_02_00_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_01_430000/rollout_00,L2RA_D_02_01_430000_r00,43120100,L2RA_D_02_01_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_01_430000/rollout_01,L2RA_D_02_01_430000_r01,43120101,L2RA_D_02_01_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_01_430000/rollout_02,L2RA_D_02_01_430000_r02,43120102,L2RA_D_02_01_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_01_430000/rollout_03,L2RA_D_02_01_430000_r03,43120103,L2RA_D_02_01_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_02_430000/rollout_00,L2RA_D_02_02_430000_r00,43120200,L2RA_D_02_02_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_02_430000/rollout_01,L2RA_D_02_02_430000_r01,43120201,L2RA_D_02_02_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_02_430000/rollout_02,L2RA_D_02_02_430000_r02,43120202,L2RA_D_02_02_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_02_430000/rollout_03,L2RA_D_02_02_430000_r03,43120203,L2RA_D_02_02_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_03_430000/rollout_00,L2RA_D_02_03_430000_r00,43120300,L2RA_D_02_03_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_03_430000/rollout_01,L2RA_D_02_03_430000_r01,43120301,L2RA_D_02_03_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_03_430000/rollout_02,L2RA_D_02_03_430000_r02,43120302,L2RA_D_02_03_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,touch_without_hold_then_loss
"['transient_contact', 'transient_contact_lost']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_02_03_430000/rollout_03,L2RA_D_02_03_430000_r03,43120303,L2RA_D_02_03_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,touch_without_hold_then_loss
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_00_430000/rollout_00,L2RA_D_03_00_430000_r00,43130000,L2RA_D_03_00_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_00_430000/rollout_01,L2RA_D_03_00_430000_r01,43130001,L2RA_D_03_00_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_00_430000/rollout_02,L2RA_D_03_00_430000_r02,43130002,L2RA_D_03_00_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_00_430000/rollout_03,L2RA_D_03_00_430000_r03,43130003,L2RA_D_03_00_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_01_430000/rollout_00,L2RA_D_03_01_430000_r00,43130100,L2RA_D_03_01_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_01_430000/rollout_01,L2RA_D_03_01_430000_r01,43130101,L2RA_D_03_01_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_01_430000/rollout_02,L2RA_D_03_01_430000_r02,43130102,L2RA_D_03_01_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_01_430000/rollout_03,L2RA_D_03_01_430000_r03,43130103,L2RA_D_03_01_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_fit,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_02_430000/rollout_00,L2RA_D_03_02_430000_r00,43130200,L2RA_D_03_02_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_02_430000/rollout_01,L2RA_D_03_02_430000_r01,43130201,L2RA_D_03_02_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_02_430000/rollout_02,L2RA_D_03_02_430000_r02,43130202,L2RA_D_03_02_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_02_430000/rollout_03,L2RA_D_03_02_430000_r03,43130203,L2RA_D_03_02_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_03_430000/rollout_00,L2RA_D_03_03_430000_r00,43130300,L2RA_D_03_03_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_03_430000/rollout_01,L2RA_D_03_03_430000_r01,43130301,L2RA_D_03_03_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,commanded_release
"['contact_established', 'released']",7,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_03_03_430000/rollout_02,L2RA_D_03_03_430000_r02,43130302,L2RA_D_03_03_430000,pathgraph_l2ra_probe_rollout_v1,normal_pick_place,new_dynamic_mujoco_probe,dev_select,commanded_release
