method,input_tier,rollout_id,time,capture_order,h,e,cos,rho,evidence_valid,evidence_duration
S_G_H,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.3,6,-0.0038098768925256543,,0.21686187669771226,0.9723774520107079,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.35,8,-0.0030986708141547137,,-0.21643091345582083,0.991294416072464,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.4,10,-0.002903590340103457,,0.920035282188196,0.8246843472377037,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.45,11,-0.003907008343064344,,0.35661309225905113,0.9843462669400634,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.5,13,-0.004723992279911937,,0.09644731432893985,0.9910848927492312,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.05,0,0.0,,,,False,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.1,1,-0.007083017791394641,,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.15,3,-0.005145930134889176,,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.2,4,-0.0045888513892378135,,-0.5216567860584848,0.9959968497923816,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.25,5,-0.005119769400062313,,0.335962580775905,0.9894659288761513,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.3,6,-0.0038098768925256543,,0.21686187669771226,0.9723774520107079,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.35,8,-0.0030986708141547137,,-0.21643091345582083,0.991294416072464,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.4,10,-0.002903590340103457,,0.920035282188196,0.8246843472377037,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.45,11,-0.003907008343064344,,0.35661309225905113,0.9843462669400634,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.5,13,-0.004723992279911937,,0.09644731432893985,0.9910848927492312,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.05,0,0.0,,,,False,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.1,1,-0.007083017791394641,,,,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.15,3,-0.005145930134889176,,,,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.2,4,-0.0045888513892378135,,-0.5216567860584848,0.9959968497923816,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.25,5,-0.005119769400062313,,0.335962580775905,0.9894659288761513,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.3,6,-0.0038098768925256543,,0.21686187669771226,0.9723774520107079,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.35,8,-0.0030986708141547137,,-0.21643091345582083,0.991294416072464,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.4,10,-0.002903590340103457,,0.920035282188196,0.8246843472377037,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.45,11,-0.003907008343064344,,0.35661309225905113,0.9843462669400634,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.5,13,-0.004723992279911937,,0.09644731432893985,0.9910848927492312,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.05,0,0.0,,,,False,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.1,1,-0.007083017791394641,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.15,3,-0.005145930134889176,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.2,4,-0.0045888513892378135,,-0.5216567860584848,0.9959968497923816,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.25,5,-0.005119769400062313,,0.335962580775905,0.9894659288761513,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.3,6,-0.0038098768925256543,,0.21686187669771226,0.9723774520107079,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.35,8,-0.0030986708141547137,,-0.21643091345582083,0.991294416072464,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.4,9,-0.0028654013373354825,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.45,11,-0.002694928948146158,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.5,12,0.054978606829950705,,0.9998959759894719,0.020995501993533887,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.55,13,0.11497860682995054,0.0,1.0,0.0,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.6,15,0.17497860716376468,8.009196290048511e-10,0.9999999999999999,6.674330223084922e-09,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.65,16,0.17497860716376468,8.009196290048511e-10,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.7,17,0.17497860716376468,8.009196290048511e-10,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.75,19,0.17497860716376468,8.009196290048511e-10,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.8,20,0.17497860716376468,8.009196290048511e-10,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.85,21,0.17497860716376468,8.009196288085564e-10,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.9,23,0.17497860716376468,8.009196290048511e-10,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.95,24,0.1667914090058834,2.805492480215317e-05,0.9999999920503906,0.0001824005001814478,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.0,25,0.15860446436367281,2.787728152484798e-17,0.9999999920404827,0.00018246187120344698,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.05,26,0.15041739313053404,2.0978681678024108e-17,1.0,0.0,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.1,27,0.14222940531358463,6.625294695046219e-05,0.9999999739036023,0.00043063914542650983,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.15,28,0.13404233408044586,6.625294695046528e-05,0.9999999999999999,4.5121020523818193e-17,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.2,29,0.12585526293339655,6.625285585691466e-05,1.0,3.0081594324214433e-09,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.25,30,0.1176691081979786,2.787728152484798e-17,0.9999999738179246,0.00043099645280957754,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.3,32,0.10948203696483971,2.6020852139652106e-18,1.0000000000000002,1.8048408209527275e-16,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.35,33,0.10948203696483971,2.6020852139652106e-18,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.4,34,0.10948203696483971,2.6020852139652106e-18,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.45,36,0.10948203696483971,2.6020852139652106e-18,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.05,0,0.0,,,,False,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.1,1,-0.007083017791394641,,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.15,3,-0.005145930134889176,,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.2,4,-0.0045888513892378135,,-0.5216567860584848,0.9959968497923816,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.25,5,-0.005119769400062313,,0.335962580775905,0.9894659288761513,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.3,6,-0.0038098768925256543,,0.21686187669771226,0.9723774520107079,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.35,8,-0.0030986708141547137,,-0.21643091345582083,0.991294416072464,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.4,9,-0.0028654013373354825,,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.45,11,-0.002694928948146158,,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.5,12,0.054978606829950705,,0.9998959759894719,0.020995501993533887,True,0.04999999999999999
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.55,13,0.11497860682995054,0.002311450608335213,1.0,0.0,True,0.10000000000000003
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.6,15,0.17497860716376468,0.0023114500354320558,0.9999999999999999,6.674330223084922e-09,True,0.14999999999999997
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.65,16,0.17497860716376468,0.0023114500354320558,,,True,0.14999999999999997
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.7,17,0.17497860716376468,0.0023114500354320558,,,True,0.14999999999999997
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.75,19,0.17497860716376468,0.0023114500354320558,,,True,0.14999999999999997
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.8,20,0.17497860716376468,0.0023114500354320558,,,True,0.14999999999999997
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.85,21,0.17497860716376468,0.0023114500354320558,,,True,0.14999999999999997
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.9,23,0.17497860716376468,0.0023114500354320558,,,True,0.14999999999999997
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.95,24,0.1667914090058834,0.002314866107205262,0.9999999920503906,0.0001824005001814478,True,0.1999999999999999
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.0,25,0.15860446436367281,0.002311450608335212,0.9999999920404827,0.00018246187120344698,True,0.24999999999999994
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.05,26,0.15041739313053404,0.0023114506083352125,1.0,0.0,True,0.3
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.1,27,0.14222940531358463,0.0023186568226677444,0.9999999739036023,0.00043063914542650983,True,0.35000000000000003
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.15,28,0.13404233408044586,0.0023186568226677426,0.9999999999999999,4.5121020523818193e-17,True,0.39999999999999986
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.2,29,0.12585526293339655,0.002318656576720788,1.0,3.0081594324214433e-09,True,0.4499999999999999
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.25,30,0.1176691081979786,0.002311450608335212,0.9999999738179246,0.00043099645280957754,True,0.49999999999999994
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.3,32,0.10948203696483971,0.002311450608335214,1.0000000000000002,1.8048408209527275e-16,True,0.55
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.35,33,0.10948203696483971,0.002311450608335214,,,True,0.55
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.4,34,0.10948203696483971,0.002311450608335214,,,True,0.55
S_G_R,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.45,36,0.10948203696483971,0.002311450608335214,,,True,0.55
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.05,0,0.0,,,,False,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.1,1,-0.007083017791394641,,,,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.15,3,-0.005145930134889176,,,,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.2,4,-0.0045888513892378135,,-0.5216567860584848,0.9959968497923816,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.25,5,-0.005119769400062313,,0.335962580775905,0.9894659288761513,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.3,6,-0.0038098768925256543,,0.21686187669771226,0.9723774520107079,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.35,8,-0.0030986708141547137,,-0.21643091345582083,0.991294416072464,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.4,9,-0.0028654013373354825,,,,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.45,11,-0.002694928948146158,,,,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.5,12,0.054978606829950705,,0.9998959759894719,0.020995501993533887,True,0.04999999999999999
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.55,13,0.11497860682995054,0.002311450608335213,1.0,0.0,True,0.10000000000000003
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.6,15,0.17497860716376468,0.0023114500354320558,0.9999999999999999,6.674330223084922e-09,True,0.14999999999999997
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.65,16,0.17497860716376468,0.0023114500354320558,,,True,0.14999999999999997
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.7,17,0.17497860716376468,0.0023114500354320558,,,True,0.14999999999999997
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.75,19,0.17497860716376468,0.0023114500354320558,,,True,0.14999999999999997
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.8,20,0.17497860716376468,0.0023114500354320558,,,True,0.14999999999999997
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.85,21,0.17497860716376468,0.0023114500354320558,,,True,0.14999999999999997
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.9,23,0.17497860716376468,0.0023114500354320558,,,True,0.14999999999999997
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,0.95,24,0.1667914090058834,0.002314866107205262,0.9999999920503906,0.0001824005001814478,True,0.1999999999999999
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.0,25,0.15860446436367281,0.002311450608335212,0.9999999920404827,0.00018246187120344698,True,0.24999999999999994
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.05,26,0.15041739313053404,0.0023114506083352125,1.0,0.0,True,0.3
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.1,27,0.14222940531358463,0.0023186568226677444,0.9999999739036023,0.00043063914542650983,True,0.35000000000000003
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.15,28,0.13404233408044586,0.0023186568226677426,0.9999999999999999,4.5121020523818193e-17,True,0.39999999999999986
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.2,29,0.12585526293339655,0.002318656576720788,1.0,3.0081594324214433e-09,True,0.4499999999999999
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.25,30,0.1176691081979786,0.002311450608335212,0.9999999738179246,0.00043099645280957754,True,0.49999999999999994
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.3,32,0.10948203696483971,0.002311450608335214,1.0000000000000002,1.8048408209527275e-16,True,0.55
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.35,33,0.10948203696483971,0.002311450608335214,,,True,0.55
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.4,34,0.10948203696483971,0.002311450608335214,,,True,0.55
S_G_HR,S,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,1.45,36,0.10948203696483971,0.002311450608335214,,,True,0.55
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.05,0,0.0,,,,False,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.1,1,-0.007083017791394641,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.15,3,-0.005145930134889176,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.2,4,-0.0045888513892378135,,-0.5216567860584848,0.9959968497923816,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.25,5,-0.005119769400062313,,0.335962580775905,0.9894659288761513,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.3,6,-0.0038098768925256543,,0.21686187669771226,0.9723774520107079,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.35,8,-0.0030986708141547137,,-0.21643091345582083,0.991294416072464,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.4,9,-0.0028654013373354825,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.45,11,-0.002694928948146158,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.5,12,0.054978606829950705,,0.9998959759894719,0.020995501993533887,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.55,13,0.11497860682995054,0.0,1.0,0.0,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.6,15,0.17497860716376468,8.009196290048511e-10,0.9999999999999999,6.674330223084922e-09,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.65,16,0.1667914090058834,2.805492480215317e-05,0.9999999920503906,0.0001824005001814478,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.7,17,0.15860446436367281,2.787728152484798e-17,0.9999999920404827,0.00018246187120344698,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.75,18,0.15041739313053404,2.0978681678024108e-17,1.0,0.0,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.8,19,0.14222940531358463,6.625294695046219e-05,0.9999999739036023,0.00043063914542650983,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.85,20,0.14187065136393406,0.00039458182938073566,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.9,21,0.1411143665965333,0.0011329056016629998,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.95,22,0.14035577919761044,0.0018840461929791731,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,1.0,23,0.13959927973893116,0.0026362052309649316,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,1.05,24,0.13884496091627485,0.0033881104329488393,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,1.1,25,0.13809307229816725,0.004138707408360533,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,1.15,26,0.13734333130325216,0.00488778141775403,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,1.2,28,0.1365955480669322,0.005635225659479773,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,1.25,29,0.13584988503944084,0.006380717821666255,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,1.3,30,0.1351059635733287,0.007124553841007516,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,1.35,32,0.13436409163080132,0.007866375241731383,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.05,0,0.0,,,,False,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.1,1,-0.007083017791394641,,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.15,3,-0.005145930134889176,,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.2,4,-0.0045888513892378135,,-0.5216567860584848,0.9959968497923816,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.25,5,-0.005119769400062313,,0.335962580775905,0.9894659288761513,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.3,6,-0.0038098768925256543,,0.21686187669771226,0.9723774520107079,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,0.35,8,-0.0030986708141547137,,-0.21643091345582083,0.991294416072464,True,0.0
